#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-05-10T16:41:16 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-05-10T16:41:16	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-source=J/ApJ/833/225/table3&-order=I&-out=Name&-out=Teff&-out=logg&-out=[Fe/H]&-out=xi&-out=Pop&-out=Z&-out=Species&-out=N&-out=[X/H]LTE&-out=e_[X/H]LTE&-out=[X/Fe]LTE&-out=[X/H]NLTE&-out=e_[X/H]NLTE&-out=[X/Fe]NLTE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18330225
#Name: J/ApJ/833/225
#Title: -2.6<=[Fe/H]<=0.2 F and G dwarfs. II. Abundances (Zhao+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apj/833/225	    IVOID of underlying data collection
#INFO	creator=Zhao G.	    First author or institution
#INFO	cites=bibcode:2016ApJ...833..225Z	    Article or Data origin sources
#INFO	editor=Astrophysical Journal (AAS)	    Editor name (article)
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/833/225	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18330225	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-07-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_833_225_table3:
#Name: J/ApJ/833/225/table3
#Title: Summary of the obtained stellar abundances
#Column	Name	(A10)	Object, Simbad name	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	[4810/6600] Object effective temperature, derived (1)	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	[3/4.8] Object surface gravity, derived (1)	[ucd=phys.gravity]
#Column	[Fe/H]	(F5.2)	[-2.7/0.3] Object metallicity, derived (1)	[ucd=phys.abund.Z]
#Column	xi	(F4.1)	[0.6/2] Microturbulence velocity, derived (1)	[ucd=phys.veloc.microTurb]
#Column	Pop	(a10)	Object Galactic population (Halo, Thick disk or Thin disk)	[ucd=src.class]
#Column	Z	(I2)	[3/63]? Atomic number	[ucd=meta.id]
#Column	Species	(A5)	Chemical species investigated	[ucd=meta.note]
#Column	N	(I2)	[0/29]? Number of lines fit	[ucd=meta.number]
#Column	[X/H]LTE	(F5.2)	[-3.6/2.8]? Abundance, relative to hydrogen, LTE case	[ucd=phys.abund]
#Column	e_[X/H]LTE	(F5.2)	[0/0.3]? Uncertainty in [X/H]LTE	[ucd=stat.error;phys.abund]
#Column	[X/Fe]LTE	(F5.2)	[-1.1/0.7]? Abundance, relative to iron, LTE case	[ucd=phys.abund]
#Column	[X/H]NLTE	(F5.2)	[-3.3/2.7]? Abundance, relative to hydrogen, NLTE case	[ucd=phys.abund]
#Column	e_[X/H]NLTE	(F5.2)	[0/0.3]? Uncertainty in [X/H]NLTE	[ucd=stat.error;phys.abund]
#Column	[X/Fe]NLTE	(F5.2)	[-0.8/0.7]? Abundance, relative to iron, NLTE case	[ucd=phys.abund]
Name	Teff	logg	[Fe/H]	xi	Pop	Z	Species	N	[X/H]LTE	e_[X/H]LTE	[X/Fe]LTE	[X/H]NLTE	e_[X/H]NLTE	[X/Fe]NLTE
HD 43318  	6250	 3.92	-0.19	 1.7	Thin disk 	19	K I  	 1	 0.05	     	 0.24	-0.19	     	 0.00
HD 43318  	6250	 3.92	-0.19	 1.7	Thin disk 	20	Ca I 	16	-0.20	 0.04	-0.01	-0.26	 0.06	-0.05
HD 43318  	6250	 3.92	-0.19	 1.7	Thin disk 	21	Sc II	 7	-0.09	 0.03	 0.10	-0.11	 0.02	 0.08
HD 43318  	6250	 3.92	-0.19	 1.7	Thin disk 	22	Ti II	10	-0.16	 0.04	 0.03	-0.16	 0.04	 0.03
HD 43318  	6250	 3.92	-0.19	 1.7	Thin disk 	26	Fe I 	28	-0.24	 0.10	-0.05	-0.20	 0.04	-0.01
HD 43318  	6250	 3.92	-0.19	 1.7	Thin disk 	26	Fe II	15	-0.19	 0.08	 0.00	-0.19	 0.08	 0.00
HD 43318  	6250	 3.92	-0.19	 1.7	Thin disk 	29	Cu I 	 3	-0.33	 0.03	-0.14	-0.30	 0.03	-0.11
HD 43318  	6250	 3.92	-0.19	 1.7	Thin disk 	38	Sr II	 2	-0.07	 0.08	 0.12	-0.09	 0.00	 0.10
HD 43318  	6250	 3.92	-0.19	 1.7	Thin disk 	40	Zr II	 3	-0.14	 0.04	 0.05	-0.12	 0.04	 0.07
HD 43318  	6250	 3.92	-0.19	 1.7	Thin disk 	56	Ba II	 3	-0.03	 0.02	 0.16	-0.14	 0.04	 0.05
HD 43318  	6250	 3.92	-0.19	 1.7	Thin disk 	63	Eu II	 1	-0.07	     	 0.12	-0.03	     	 0.16
HD 45067  	5960	 3.94	-0.16	 1.5	Thin disk 	 3	Li I 	 1	 2.37	     	     	 2.33	     	
HD 45067  	5960	 3.94	-0.16	 1.5	Thin disk 	 6	C I  	 4	-0.12	 0.03	 0.04	-0.19	 0.06	-0.03
HD 45067  	5960	 3.94	-0.16	 1.5	Thin disk 	  	CH   	12	-0.16	 0.06	 0.00	     	     	
HD 45067  	5960	 3.94	-0.16	 1.5	Thin disk 	 8	O I  	 4	-0.07	 0.10	 0.09	-0.18	 0.02	-0.02
HD 45067  	5960	 3.94	-0.16	 1.5	Thin disk 	11	Na I 	 2	-0.02	 0.03	 0.14	-0.10	 0.04	 0.06
HD 45067  	5960	 3.94	-0.16	 1.5	Thin disk 	12	Mg I 	 5	-0.14	 0.06	 0.02	-0.14	 0.05	 0.02
HD 45067  	5960	 3.94	-0.16	 1.5	Thin disk 	13	Al I 	 0	     	     	     	     	     	
HD 45067  	5960	 3.94	-0.16	 1.5	Thin disk 	14	Si I 	 9	-0.11	 0.03	 0.05	-0.13	 0.03	 0.03
HD 45067  	5960	 3.94	-0.16	 1.5	Thin disk 	14	Si II	 2	-0.12	 0.01	 0.04	-0.16	 0.01	 0.00
HD 45067  	5960	 3.94	-0.16	 1.5	Thin disk 	19	K I  	 1	 0.15	     	 0.31	-0.13	     	 0.03
HD 45067  	5960	 3.94	-0.16	 1.5	Thin disk 	20	Ca I 	17	-0.19	 0.03	-0.03	-0.23	 0.05	-0.07
HD 45067  	5960	 3.94	-0.16	 1.5	Thin disk 	21	Sc II	 9	-0.12	 0.03	 0.04	-0.13	 0.02	 0.03
HD 45067  	5960	 3.94	-0.16	 1.5	Thin disk 	22	Ti II	 7	-0.12	 0.03	 0.04	-0.12	 0.03	 0.04
HD 45067  	5960	 3.94	-0.16	 1.5	Thin disk 	26	Fe I 	24	-0.19	 0.04	-0.03	-0.17	 0.04	-0.01
HD 45067  	5960	 3.94	-0.16	 1.5	Thin disk 	26	Fe II	16	-0.16	 0.06	 0.00	-0.16	 0.06	 0.00
HD 45067  	5960	 3.94	-0.16	 1.5	Thin disk 	29	Cu I 	 3	-0.22	 0.03	-0.06	-0.23	 0.02	-0.07
HD 45067  	5960	 3.94	-0.16	 1.5	Thin disk 	38	Sr II	 2	-0.14	 0.03	 0.02	-0.15	 0.03	 0.01
HD 45067  	5960	 3.94	-0.16	 1.5	Thin disk 	40	Zr II	 2	-0.23	 0.01	-0.07	-0.21	 0.01	-0.05
HD 45067  	5960	 3.94	-0.16	 1.5	Thin disk 	56	Ba II	 3	-0.10	 0.06	 0.06	-0.18	 0.09	-0.02
HD 45067  	5960	 3.94	-0.16	 1.5	Thin disk 	63	Eu II	 1	-0.17	     	-0.01	-0.11	     	 0.05
HD 45205  	5790	 4.08	-0.87	 1.1	Thick disk	 3	Li I 	 1	 2.03	     	     	 2.01	     	
HD 45205  	5790	 4.08	-0.87	 1.1	Thick disk	 6	C I  	 4	-0.59	 0.09	 0.28	-0.61	 0.03	 0.26
HD 45205  	5790	 4.08	-0.87	 1.1	Thick disk	  	CH   	12	-0.83	 0.03	 0.04	     	     	
HD 45205  	5790	 4.08	-0.87	 1.1	Thick disk	 8	O I  	 3	-0.25	 0.11	 0.62	-0.26	 0.09	 0.61
HD 45205  	5790	 4.08	-0.87	 1.1	Thick disk	11	Na I 	 4	-0.79	 0.03	 0.08	-0.78	 0.02	 0.09
HD 45205  	5790	 4.08	-0.87	 1.1	Thick disk	12	Mg I 	 5	-0.61	 0.07	 0.26	-0.59	 0.08	 0.28
HD 45205  	5790	 4.08	-0.87	 1.1	Thick disk	13	Al I 	 0	     	     	     	     	     	
HD 45205  	5790	 4.08	-0.87	 1.1	Thick disk	14	Si I 	 9	-0.64	 0.04	 0.23	-0.63	 0.03	 0.24
HD 45205  	5790	 4.08	-0.87	 1.1	Thick disk	14	Si II	 2	-0.54	 0.01	 0.33	-0.56	 0.01	 0.31
HD 45205  	5790	 4.08	-0.87	 1.1	Thick disk	19	K I  	 1	-0.30	     	 0.57	-0.58	     	 0.29
HD 45205  	5790	 4.08	-0.87	 1.1	Thick disk	20	Ca I 	17	-0.73	 0.06	 0.14	-0.71	 0.06	 0.16
HD 45205  	5790	 4.08	-0.87	 1.1	Thick disk	21	Sc II	 9	-0.61	 0.07	 0.26	-0.59	 0.05	 0.28
HD 45205  	5790	 4.08	-0.87	 1.1	Thick disk	22	Ti II	15	-0.57	 0.04	 0.30	-0.57	 0.04	 0.30
HD 45205  	5790	 4.08	-0.87	 1.1	Thick disk	26	Fe I 	23	-0.95	 0.06	-0.08	-0.92	 0.06	-0.05
HD 45205  	5790	 4.08	-0.87	 1.1	Thick disk	26	Fe II	16	-0.87	 0.03	 0.00	-0.87	 0.03	 0.00
HD 45205  	5790	 4.08	-0.87	 1.1	Thick disk	29	Cu I 	 3	-1.07	 0.03	-0.20	-1.01	 0.03	-0.14
HD 45205  	5790	 4.08	-0.87	 1.1	Thick disk	38	Sr II	 2	-0.83	 0.06	 0.04	-0.83	 0.11	 0.04
HD 45205  	5790	 4.08	-0.87	 1.1	Thick disk	40	Zr II	 2	-0.73	 0.03	 0.14	-0.72	 0.01	 0.15
HD 45205  	5790	 4.08	-0.87	 1.1	Thick disk	56	Ba II	 3	-0.97	 0.11	-0.10	-1.02	 0.04	-0.15
HD 45205  	5790	 4.08	-0.87	 1.1	Thick disk	63	Eu II	 1	-0.60	     	 0.27	-0.60	     	 0.27
HD 49933  	6600	 4.15	-0.47	 1.7	Thin disk 	 3	Li I 	 0	     	     	     	     	     	
HD 49933  	6600	 4.15	-0.47	 1.7	Thin disk 	 6	C I  	 3	-0.43	 0.04	 0.04	-0.44	 0.03	 0.03
HD 49933  	6600	 4.15	-0.47	 1.7	Thin disk 	  	CH   	11	-0.29	 0.07	 0.18	     	     	
HD 49933  	6600	 4.15	-0.47	 1.7	Thin disk 	 8	O I  	 4	-0.15	 0.11	 0.32	-0.37	 0.04	 0.10
HD 49933  	6600	 4.15	-0.47	 1.7	Thin disk 	11	Na I 	 3	-0.38	 0.03	 0.09	-0.37	 0.02	 0.10
HD 49933  	6600	 4.15	-0.47	 1.7	Thin disk 	12	Mg I 	 4	-0.33	 0.14	 0.14	-0.33	 0.14	 0.14
HD 49933  	6600	 4.15	-0.47	 1.7	Thin disk 	13	Al I 	 0	     	     	     	     	     	
HD 49933  	6600	 4.15	-0.47	 1.7	Thin disk 	14	Si I 	 5	-0.35	 0.03	 0.12	-0.34	 0.02	 0.13
HD 49933  	6600	 4.15	-0.47	 1.7	Thin disk 	14	Si II	 2	-0.28	 0.06	 0.19	-0.32	 0.07	 0.15
HD 49933  	6600	 4.15	-0.47	 1.7	Thin disk 	19	K I  	 1	-0.18	     	 0.29	-0.44	     	 0.03
HD 49933  	6600	 4.15	-0.47	 1.7	Thin disk 	20	Ca I 	14	-0.41	 0.06	 0.06	-0.42	 0.03	 0.05
HD 49933  	6600	 4.15	-0.47	 1.7	Thin disk 	21	Sc II	 4	-0.47	 0.04	 0.00	-0.43	 0.05	 0.04
HD 49933  	6600	 4.15	-0.47	 1.7	Thin disk 	22	Ti II	 6	-0.43	 0.03	 0.04	-0.43	 0.03	 0.04
HD 49933  	6600	 4.15	-0.47	 1.7	Thin disk 	26	Fe I 	26	-0.52	 0.04	-0.05	-0.51	 0.04	-0.04
HD 49933  	6600	 4.15	-0.47	 1.7	Thin disk 	26	Fe II	15	-0.47	 0.07	 0.00	-0.47	 0.07	 0.00
HD 49933  	6600	 4.15	-0.47	 1.7	Thin disk 	29	Cu I 	 2	-0.68	 0.00	-0.21	-0.59	 0.02	-0.12
HD 49933  	6600	 4.15	-0.47	 1.7	Thin disk 	38	Sr II	 1	-0.49	     	-0.02	-0.43	     	 0.04
HD 49933  	6600	 4.15	-0.47	 1.7	Thin disk 	40	Zr II	 2	-0.38	 0.00	 0.09	-0.35	 0.00	 0.12
HD 49933  	6600	 4.15	-0.47	 1.7	Thin disk 	56	Ba II	 3	-0.22	 0.13	 0.25	-0.31	 0.03	 0.16
HD 49933  	6600	 4.15	-0.47	 1.7	Thin disk 	63	Eu II	 1	-0.34	     	 0.13	-0.22	     	 0.25
HD 52711  	5900	 4.33	-0.21	 1.2	Thin disk 	 3	Li I 	 1	 1.84	     	     	 1.82	     	
HD 52711  	5900	 4.33	-0.21	 1.2	Thin disk 	 6	C I  	 2	-0.16	 0.01	 0.05	-0.15	 0.01	 0.06
HD 52711  	5900	 4.33	-0.21	 1.2	Thin disk 	  	CH   	 9	-0.18	 0.04	 0.03	     	     	
HD 52711  	5900	 4.33	-0.21	 1.2	Thin disk 	 8	O I  	 5	-0.20	 0.07	 0.01	-0.20	 0.07	 0.01
HD 52711  	5900	 4.33	-0.21	 1.2	Thin disk 	11	Na I 	 4	-0.12	 0.04	 0.09	-0.14	 0.04	 0.07
HD 52711  	5900	 4.33	-0.21	 1.2	Thin disk 	12	Mg I 	 4	-0.13	 0.07	 0.08	-0.14	 0.06	 0.07
HD 52711  	5900	 4.33	-0.21	 1.2	Thin disk 	13	Al I 	 2	-0.13	 0.03	 0.08	-0.10	 0.04	 0.11
HD 52711  	5900	 4.33	-0.21	 1.2	Thin disk 	14	Si I 	 9	-0.13	 0.02	 0.08	-0.14	 0.03	 0.07
HD 52711  	5900	 4.33	-0.21	 1.2	Thin disk 	14	Si II	 2	-0.17	 0.01	 0.04	-0.19	 0.01	 0.02
HD 52711  	5900	 4.33	-0.21	 1.2	Thin disk 	19	K I  	 1	-0.08	     	 0.13	-0.17	     	 0.04
HD 52711  	5900	 4.33	-0.21	 1.2	Thin disk 	20	Ca I 	18	-0.19	 0.03	 0.02	-0.21	 0.04	 0.00
HD 52711  	5900	 4.33	-0.21	 1.2	Thin disk 	21	Sc II	 9	-0.11	 0.03	 0.10	-0.11	 0.04	 0.10
HD 52711  	5900	 4.33	-0.21	 1.2	Thin disk 	22	Ti II	10	-0.19	 0.03	 0.02	-0.19	 0.03	 0.02
HD 52711  	5900	 4.33	-0.21	 1.2	Thin disk 	26	Fe I 	26	-0.18	 0.05	 0.03	-0.16	 0.05	 0.05
HD 52711  	5900	 4.33	-0.21	 1.2	Thin disk 	26	Fe II	16	-0.21	 0.05	 0.00	-0.21	 0.05	 0.00
HD 52711  	5900	 4.33	-0.21	 1.2	Thin disk 	29	Cu I 	 3	-0.22	 0.01	-0.01	-0.21	 0.02	 0.00
HD 52711  	5900	 4.33	-0.21	 1.2	Thin disk 	38	Sr II	 2	-0.17	 0.04	 0.04	-0.19	 0.01	 0.02
HD 52711  	5900	 4.33	-0.21	 1.2	Thin disk 	40	Zr II	 3	-0.20	 0.04	 0.01	-0.18	 0.04	 0.03
HD 52711  	5900	 4.33	-0.21	 1.2	Thin disk 	56	Ba II	 3	-0.19	 0.03	 0.02	-0.22	 0.01	-0.01
HD 52711  	5900	 4.33	-0.21	 1.2	Thin disk 	63	Eu II	 1	-0.24	     	-0.03	-0.19	     	 0.02
HD 58855  	6410	 4.32	-0.29	 1.6	Thin disk 	 3	Li I 	 1	 2.42	     	     	 2.39	     	
HD 58855  	6410	 4.32	-0.29	 1.6	Thin disk 	 6	C I  	 5	-0.20	 0.11	 0.09	-0.27	 0.03	 0.02
HD 58855  	6410	 4.32	-0.29	 1.6	Thin disk 	  	CH   	11	-0.12	 0.06	 0.17	     	     	
HD 58855  	6410	 4.32	-0.29	 1.6	Thin disk 	 8	O I  	 3	-0.20	 0.05	 0.09	-0.34	 0.01	-0.05
HD 58855  	6410	 4.32	-0.29	 1.6	Thin disk 	11	Na I 	 2	-0.23	 0.05	 0.06	-0.25	 0.03	 0.04
HD 58855  	6410	 4.32	-0.29	 1.6	Thin disk 	12	Mg I 	 5	-0.21	 0.05	 0.08	-0.21	 0.05	 0.08
HD 58855  	6410	 4.32	-0.29	 1.6	Thin disk 	13	Al I 	 0	     	     	     	     	     	
HD 58855  	6410	 4.32	-0.29	 1.6	Thin disk 	14	Si I 	 6	-0.21	 0.04	 0.08	-0.21	 0.03	 0.08
HD 58855  	6410	 4.32	-0.29	 1.6	Thin disk 	14	Si II	 2	-0.20	 0.02	 0.09	-0.24	 0.03	 0.05
HD 58855  	6410	 4.32	-0.29	 1.6	Thin disk 	19	K I  	 1	 0.11	     	 0.40	-0.15	     	 0.14
HD 58855  	6410	 4.32	-0.29	 1.6	Thin disk 	20	Ca I 	16	-0.21	 0.05	 0.08	-0.25	 0.05	 0.04
HD 58855  	6410	 4.32	-0.29	 1.6	Thin disk 	21	Sc II	 5	-0.22	 0.06	 0.07	-0.22	 0.06	 0.07
HD 58855  	6410	 4.32	-0.29	 1.6	Thin disk 	22	Ti II	10	-0.22	 0.06	 0.07	-0.22	 0.06	 0.07
HD 58855  	6410	 4.32	-0.29	 1.6	Thin disk 	26	Fe I 	26	-0.30	 0.06	-0.01	-0.28	 0.05	 0.01
HD 58855  	6410	 4.32	-0.29	 1.6	Thin disk 	26	Fe II	15	-0.29	 0.05	 0.00	-0.29	 0.05	 0.00
HD 58855  	6410	 4.32	-0.29	 1.6	Thin disk 	29	Cu I 	 3	-0.36	 0.03	-0.07	-0.31	 0.02	-0.02
HD 58855  	6410	 4.32	-0.29	 1.6	Thin disk 	38	Sr II	 2	-0.24	 0.08	 0.05	-0.26	 0.01	 0.03
HD 58855  	6410	 4.32	-0.29	 1.6	Thin disk 	40	Zr II	 2	-0.16	 0.03	 0.13	-0.15	 0.02	 0.14
HD 58855  	6410	 4.32	-0.29	 1.6	Thin disk 	56	Ba II	 3	-0.08	 0.01	 0.21	-0.17	 0.06	 0.12
HD 58855  	6410	 4.32	-0.29	 1.6	Thin disk 	63	Eu II	 1	-0.17	     	 0.12	-0.05	     	 0.24
HD 59374  	5850	 4.38	-0.88	 1.2	Thick disk	 3	Li I 	 1	 1.80	     	     	 1.80	     	
HD 59374  	5850	 4.38	-0.88	 1.2	Thick disk	 6	C I  	 4	-0.74	 0.10	 0.14	-0.73	 0.06	 0.15
HD 59374  	5850	 4.38	-0.88	 1.2	Thick disk	  	CH   	 9	-0.73	 0.04	 0.15	     	     	
HD 59374  	5850	 4.38	-0.88	 1.2	Thick disk	 8	O I  	 4	-0.35	 0.04	 0.53	-0.31	 0.04	 0.57
HD 59374  	5850	 4.38	-0.88	 1.2	Thick disk	11	Na I 	 5	-0.81	 0.06	 0.07	-0.80	 0.06	 0.08
HD 59374  	5850	 4.38	-0.88	 1.2	Thick disk	12	Mg I 	 5	-0.58	 0.03	 0.30	-0.58	 0.03	 0.30
HD 59374  	5850	 4.38	-0.88	 1.2	Thick disk	13	Al I 	 6	-0.70	 0.08	 0.18	-0.62	 0.07	 0.26
HD 59374  	5850	 4.38	-0.88	 1.2	Thick disk	14	Si I 	11	-0.62	 0.05	 0.26	-0.61	 0.05	 0.27
HD 59374  	5850	 4.38	-0.88	 1.2	Thick disk	14	Si II	 0	     	     	     	     	     	
HD 59374  	5850	 4.38	-0.88	 1.2	Thick disk	19	K I  	 1	-0.47	     	 0.41	-0.64	     	 0.24
HD 59374  	5850	 4.38	-0.88	 1.2	Thick disk	20	Ca I 	18	-0.72	 0.05	 0.16	-0.70	 0.05	 0.18
HD 59374  	5850	 4.38	-0.88	 1.2	Thick disk	21	Sc II	 9	-0.68	 0.03	 0.20	-0.65	 0.02	 0.23
HD 59374  	5850	 4.38	-0.88	 1.2	Thick disk	22	Ti II	12	-0.59	 0.04	 0.29	-0.59	 0.04	 0.29
HD 59374  	5850	 4.38	-0.88	 1.2	Thick disk	26	Fe I 	24	-0.95	 0.07	-0.07	-0.90	 0.07	-0.02
HD 59374  	5850	 4.38	-0.88	 1.2	Thick disk	26	Fe II	15	-0.88	 0.05	 0.00	-0.88	 0.05	 0.00
HD 59374  	5850	 4.38	-0.88	 1.2	Thick disk	29	Cu I 	 3	-1.11	 0.00	-0.23	-1.05	 0.01	-0.17
HD 59374  	5850	 4.38	-0.88	 1.2	Thick disk	38	Sr II	 2	-0.85	 0.08	 0.03	-0.87	 0.01	 0.01
HD 59374  	5850	 4.38	-0.88	 1.2	Thick disk	40	Zr II	 2	-0.72	 0.06	 0.16	-0.70	 0.06	 0.18
HD 59374  	5850	 4.38	-0.88	 1.2	Thick disk	56	Ba II	 3	-1.07	 0.05	-0.19	-1.07	 0.01	-0.19
HD 59374  	5850	 4.38	-0.88	 1.2	Thick disk	63	Eu II	 1	-0.44	     	 0.44	-0.44	     	 0.44
HD 59984  	5930	 4.02	-0.69	 1.4	Thin disk 	 3	Li I 	 1	 2.47	     	     	 2.44	     	
HD 59984  	5930	 4.02	-0.69	 1.4	Thin disk 	 6	C I  	 3	-0.60	 0.02	 0.09	-0.60	 0.02	 0.09
HD 59984  	5930	 4.02	-0.69	 1.4	Thin disk 	  	CH   	 8	-0.50	 0.05	 0.19	     	     	
HD 59984  	5930	 4.02	-0.69	 1.4	Thin disk 	 8	O I  	 4	-0.40	 0.10	 0.29	-0.38	 0.05	 0.31
HD 59984  	5930	 4.02	-0.69	 1.4	Thin disk 	11	Na I 	 5	-0.67	 0.07	 0.02	-0.67	 0.07	 0.02
HD 59984  	5930	 4.02	-0.69	 1.4	Thin disk 	12	Mg I 	 5	-0.60	 0.03	 0.09	-0.58	 0.03	 0.11
HD 59984  	5930	 4.02	-0.69	 1.4	Thin disk 	13	Al I 	 4	-0.63	 0.06	 0.06	-0.54	 0.06	 0.15
HD 59984  	5930	 4.02	-0.69	 1.4	Thin disk 	14	Si I 	10	-0.62	 0.04	 0.07	-0.61	 0.04	 0.08
HD 59984  	5930	 4.02	-0.69	 1.4	Thin disk 	14	Si II	 2	-0.60	 0.05	 0.09	-0.61	 0.04	 0.08
HD 59984  	5930	 4.02	-0.69	 1.4	Thin disk 	19	K I  	 1	-0.35	     	 0.34	-0.65	     	 0.04
HD 59984  	5930	 4.02	-0.69	 1.4	Thin disk 	20	Ca I 	17	-0.71	 0.05	-0.02	-0.71	 0.06	-0.02
HD 59984  	5930	 4.02	-0.69	 1.4	Thin disk 	21	Sc II	 9	-0.61	 0.03	 0.08	-0.59	 0.03	 0.10
HD 59984  	5930	 4.02	-0.69	 1.4	Thin disk 	22	Ti II	 6	-0.57	 0.03	 0.12	-0.57	 0.03	 0.12
HD 59984  	5930	 4.02	-0.69	 1.4	Thin disk 	26	Fe I 	23	-0.75	 0.07	-0.06	-0.75	 0.07	-0.06
HD 59984  	5930	 4.02	-0.69	 1.4	Thin disk 	26	Fe II	18	-0.69	 0.07	 0.00	-0.69	 0.07	 0.00
HD 59984  	5930	 4.02	-0.69	 1.4	Thin disk 	29	Cu I 	 3	-0.87	 0.02	-0.18	-0.81	 0.02	-0.12
HD 59984  	5930	 4.02	-0.69	 1.4	Thin disk 	38	Sr II	 2	-0.74	 0.03	-0.05	-0.75	 0.05	-0.06
HD 59984  	5930	 4.02	-0.69	 1.4	Thin disk 	40	Zr II	 3	-0.67	 0.03	 0.02	-0.65	 0.04	 0.04
HD 59984  	5930	 4.02	-0.69	 1.4	Thin disk 	56	Ba II	 3	-0.79	 0.03	-0.10	-0.85	 0.04	-0.16
HD 59984  	5930	 4.02	-0.69	 1.4	Thin disk 	63	Eu II	 1	-0.53	     	 0.16	-0.48	     	 0.21
HD 62301  	5840	 4.09	-0.70	 1.3	Thick disk	 3	Li I 	 1	 2.04	     	     	 2.02	     	
HD 62301  	5840	 4.09	-0.70	 1.3	Thick disk	 6	C I  	 5	-0.41	 0.04	 0.29	-0.45	 0.04	 0.25
HD 62301  	5840	 4.09	-0.70	 1.3	Thick disk	  	CH   	11	-0.58	 0.03	 0.12	     	     	
HD 62301  	5840	 4.09	-0.70	 1.3	Thick disk	 8	O I  	 4	-0.27	 0.09	 0.43	-0.30	 0.06	 0.40
HD 62301  	5840	 4.09	-0.70	 1.3	Thick disk	11	Na I 	 5	-0.70	 0.02	 0.00	-0.70	 0.03	 0.00
HD 62301  	5840	 4.09	-0.70	 1.3	Thick disk	12	Mg I 	 5	-0.55	 0.05	 0.15	-0.53	 0.05	 0.17
HD 62301  	5840	 4.09	-0.70	 1.3	Thick disk	13	Al I 	 1	-0.68	     	 0.02	-0.58	     	 0.12
HD 62301  	5840	 4.09	-0.70	 1.3	Thick disk	14	Si I 	 8	-0.54	 0.05	 0.16	-0.53	 0.03	 0.17
HD 62301  	5840	 4.09	-0.70	 1.3	Thick disk	14	Si II	 2	-0.43	 0.02	 0.27	-0.45	 0.02	 0.25
HD 62301  	5840	 4.09	-0.70	 1.3	Thick disk	19	K I  	 1	-0.17	     	 0.53	-0.45	     	 0.25
HD 62301  	5840	 4.09	-0.70	 1.3	Thick disk	20	Ca I 	18	-0.64	 0.06	 0.06	-0.65	 0.05	 0.05
HD 62301  	5840	 4.09	-0.70	 1.3	Thick disk	21	Sc II	 9	-0.53	 0.07	 0.17	-0.51	 0.06	 0.19
HD 62301  	5840	 4.09	-0.70	 1.3	Thick disk	22	Ti II	14	-0.52	 0.05	 0.18	-0.52	 0.05	 0.18
HD 62301  	5840	 4.09	-0.70	 1.3	Thick disk	26	Fe I 	29	-0.77	 0.07	-0.07	-0.74	 0.07	-0.04
HD 62301  	5840	 4.09	-0.70	 1.3	Thick disk	26	Fe II	16	-0.70	 0.04	 0.00	-0.70	 0.04	 0.00
HD 62301  	5840	 4.09	-0.70	 1.3	Thick disk	29	Cu I 	 3	-0.85	 0.03	-0.15	-0.80	 0.02	-0.10
HD 62301  	5840	 4.09	-0.70	 1.3	Thick disk	38	Sr II	 2	-0.68	 0.06	 0.02	-0.69	 0.12	 0.01
HD 62301  	5840	 4.09	-0.70	 1.3	Thick disk	40	Zr II	 3	-0.65	 0.04	 0.05	-0.64	 0.03	 0.06
HD 62301  	5840	 4.09	-0.70	 1.3	Thick disk	56	Ba II	 3	-0.78	 0.01	-0.08	-0.84	 0.06	-0.14
HD 62301  	5840	 4.09	-0.70	 1.3	Thick disk	63	Eu II	 1	-0.40	     	 0.30	-0.40	     	 0.30
HD 64090  	5400	 4.70	-1.73	 0.7	Halo      	 3	Li I 	 1	 1.26	     	     	 1.27	     	
HD 64090  	5400	 4.70	-1.73	 0.7	Halo      	 6	C I  	 0	     	     	     	     	     	
HD 64090  	5400	 4.70	-1.73	 0.7	Halo      	  	CH   	12	-1.62	 0.04	 0.11	     	     	
HD 64090  	5400	 4.70	-1.73	 0.7	Halo      	 8	O I  	 1	-1.23	     	 0.50	-1.09	     	 0.64
HD 64090  	5400	 4.70	-1.73	 0.7	Halo      	11	Na I 	 2	-1.95	 0.05	-0.22	-2.02	 0.04	-0.29
