#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-09-23T23:24:39 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-09-23T23:24:39	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=9999
#-nav=cat:J/A+A/655/A99&tab:{J/A+A/655/A99/table}&key:source=J/A+A/655/A99&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/655/A99/table
#-order=I
#-out=Star
#-out=Teff
#-out=logg
#-out=[Fe/H]
#-out=S/N
#-out=[C/Fe]
#-out=e_[C/Fe]
#-out=[O1/Fe]
#-out=e_[O1/Fe]
#-out=[O2/Fe]
#-out=e_[O2/Fe]
#-out=[C/O1]
#-out=[C/O2]
#-out=planet
#-out=pop
#-out=SimbadName
#-out=_RA
#-out=_DE
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=9999	

#RESOURCE=yCat_36550099
#Name: J/A+A/655/A99
#Title: Chemical abundances of 762 FGK stars (Delgado Mena+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/655/a99	
#INFO	publisher=CDS	
#INFO	creator=Delgado Mena E.	
#INFO	related_resource=bibcode:2021A&A...655A..99D	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/655/A99	
#INFO	publication_id=doi:10.26093/cds/vizier.36550099	
#INFO	publication_date=2022-09-21	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_655_A99_table:
#Name: J/A+A/655/A99/table
#Title: Abundance ratios, errors, planet presence
#Column	Star	(a10)	Star's identifier	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	Effective Temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	Surface gravity	[ucd=phys.gravity]
#Column	[Fe/H]	(F5.2)	Iron abundance	[ucd=phys.abund.Fe]
#Column	S/N	(I4)	Signal to noise ratio	[ucd=stat.snr]
#Column	[C/Fe]	(F6.3)	? Abundance [C/Fe]	[ucd=phys.abund]
#Column	e_[C/Fe]	(F6.3)	? Error of [C/Fe]	[ucd=stat.error;phys.abund]
#Column	[O1/Fe]	(F6.3)	? Abundance [O/Fe] from 6158{AA} line	[ucd=phys.abund]
#Column	e_[O1/Fe]	(F6.3)	? Error of [O/Fe] from 6158{AA} line	[ucd=stat.error;phys.abund]
#Column	[O2/Fe]	(F6.3)	? Abundance [O/Fe] from 6300{AA} line	[ucd=phys.abund]
#Column	e_[O2/Fe]	(F6.3)	? Error of [O/Fe] from 6300{AA} line	[ucd=stat.error;phys.abund]
#Column	[C/O1]	(F6.3)	? Ratio [C/O] using 6158{AA} line	[ucd=phys.abund]
#Column	[C/O2]	(F6.3)	? Ratio [C/O] using 6300{AA} line	[ucd=phys.abund]
#Column	planet	(A4)	Type of the most massive planet present (jup, nept or non)	[ucd=src.class]
#Column	pop	(A5)	Galactic population (thick, thin, halo or hamr)	[ucd=meta.code]
#Column	SimbadName	(a10)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Star	Teff	logg	[Fe/H]	S/N	[C/Fe]	e_[C/Fe]	[O1/Fe]	e_[O1/Fe]	[O2/Fe]	e_[O2/Fe]	[C/O1]	[C/O2]	planet	pop	SimbadName	_RA	_DE
HD72579   	5449	 4.31	 0.20	 339	 0.015	 0.054	 0.085	 0.109	-0.039	 0.090	-0.070	 0.054	non 	thin 	HD72579   	127.78760	-54.08827
HD157172  	5451	 4.43	 0.11	 723	 0.002	 0.025	 0.083	 0.072	      	      	-0.081	      	jup 	thin 	HD157172  	260.64402	-19.61618
HD215902  	5454	 4.50	-0.25	  50	-0.013	 0.023	      	      	 0.183	 0.479	      	-0.196	non 	thin 	HD215902  	342.21546	-26.54260
HD113101  	5456	 4.41	-0.07	 105	 0.119	 0.027	      	      	      	      	      	      	non 	hamr 	HD113101  	195.33125	-08.44038
HD151504  	5457	 4.40	 0.06	 510	 0.087	 0.027	 0.190	 0.089	 0.242	 0.050	-0.103	-0.155	non 	thin 	HD151504  	252.13432	-19.28777
HD18386   	5457	 4.43	 0.14	 523	 0.024	 0.031	-0.061	 0.101	-0.121	 0.083	 0.085	 0.145	non 	thin 	HD18386   	044.15789	-22.31010
HD111232  	5460	 4.47	-0.43	 589	 0.265	 0.018	 0.438	 0.147	 0.497	 0.053	-0.173	-0.232	jup 	thick	HD111232  	192.21564	-68.42515
HD214759  	5461	 4.41	 0.18	 338	-0.026	 0.050	 0.093	 0.115	 0.109	 0.076	-0.119	-0.135	non 	thin 	HD214759  	340.22988	-31.99006
HD21019   	5468	 3.97	-0.45	 518	 0.055	 0.029	 0.295	 0.150	 0.319	 0.050	-0.240	-0.264	non 	thin 	HD21019   	050.82375	-07.79410
BD-050578 	5470	 4.43	 0.09	  70	-0.043	 0.039	      	      	-0.175	 0.446	      	 0.132	non 	thin 	BD-050578 	046.70339	-04.80853
HD126803  	5470	 4.52	-0.61	 161	 0.319	 0.033	      	      	      	      	      	      	non 	thick	HD126803  	217.26357	-46.74112
HD21411   	5473	 4.55	-0.26	 262	-0.030	 0.061	      	      	 0.188	 0.146	      	-0.218	non 	thin 	HD21411   	051.54632	-30.61781
HD167677  	5474	 4.47	-0.29	 212	 0.205	 0.034	      	      	      	      	      	      	jup 	thick	HD167677  	274.20646	-11.40586
HD222422  	5475	 4.50	-0.12	 415	-0.080	 0.016	      	      	-0.010	 0.112	      	-0.070	non 	thin 	HD222422  	355.15772	-18.98889
HD190204  	5476	 4.67	-0.02	  78	-0.047	 0.045	      	      	      	      	      	      	non 	thin 	HD190204  	301.40639	-42.25761
HD104263  	5477	 4.37	 0.02	 776	 0.074	 0.021	 0.089	 0.081	 0.015	 0.051	-0.015	 0.059	non 	hamr 	HD104263  	180.11440	-04.54881
HD118563  	5477	 4.48	-0.04	 112	-0.170	 0.048	      	      	 0.090	 0.254	      	-0.260	non 	thin 	HD118563  	204.61841	-38.32030
HD19034   	5477	 4.43	-0.48	 359	 0.275	 0.014	      	      	 0.532	 0.071	      	-0.257	non 	thick	HD19034   	045.91233	-05.66630
HD192117  	5479	 4.51	-0.04	 140	 0.025	 0.068	      	      	-0.184	 0.340	      	 0.209	non 	thin 	HD192117  	305.10076	-75.57788
HD110291  	5480	 4.41	-0.02	  87	-0.115	 0.179	      	      	 0.012	 0.321	      	-0.127	non 	thin 	HD110291  	190.40717	-56.63342
HD219249  	5482	 4.53	-0.40	 729	 0.053	 0.016	      	      	 0.080	 0.091	      	-0.027	non 	thin 	HD219249  	348.79034	-56.72922
HD100289  	5483	 4.45	 0.03	 153	-0.003	 0.030	-0.041	 0.350	-0.096	 0.248	 0.038	 0.093	non 	thin 	HD100289  	173.06016	-31.38292
HD20003   	5494	 4.44	 0.04	 457	-0.020	 0.037	-0.066	 0.138	 0.067	 0.075	 0.046	-0.087	nept	thin 	HD20003   	046.90799	-72.32189
HD63685   	5497	 4.08	 0.00	 152	 0.116	 0.033	-0.088	 0.335	 0.208	 0.114	 0.204	-0.092	non 	hamr 	HD63685   	116.59701	-61.43015
HD172513  	5500	 4.44	-0.05	1040	-0.060	 0.018	 0.042	 0.063	-0.004	 0.052	-0.102	-0.056	non 	thin 	HD172513  	280.50982	-34.46633
HD18838   	5500	 4.51	-0.17	  69	-0.071	 0.035	      	      	 0.233	 0.340	      	-0.304	non 	thin 	HD18838   	045.17474	-35.93761
HD209566  	5500	 4.41	 0.12	 181	-0.021	 0.033	 0.205	 0.174	-0.061	 0.175	-0.226	 0.040	non 	thin 	HD209566  	331.27393	-35.18173
HD8859    	5502	 4.44	-0.09	 161	 0.075	 0.034	      	      	 0.141	 0.181	      	-0.066	non 	thin 	HD8859    	021.70519	-29.47497
HD224685  	5504	 4.50	-0.40	 315	-0.017	 0.089	      	      	-0.042	 0.220	      	 0.025	non 	thin 	HD224685  	359.97946	-64.37231
HD210277  	5505	 4.33	 0.18	1097	 0.064	 0.026	 0.166	 0.039	 0.088	 0.036	-0.102	-0.024	jup 	hamr 	HD210277  	332.37444	-07.54866
HD290327  	5505	 4.44	-0.14	 231	 0.085	 0.029	-0.006	 0.310	 0.163	 0.139	 0.091	-0.078	jup 	thin 	HD290327  	080.83985	-02.27762
HD37986   	5507	 4.32	 0.26	 418	 0.018	 0.036	 0.029	 0.081	      	      	-0.011	      	non 	thin 	HD37986   	085.47369	-15.63054
HD8638    	5507	 4.46	-0.38	 262	 0.187	 0.034	 0.434	 0.221	 0.409	 0.105	-0.247	-0.222	non 	thick	HD8638    	021.20503	-27.83905
HD142022A 	5508	 4.38	 0.19	 249	-0.064	 0.033	 0.155	 0.121	-0.083	 0.133	-0.219	 0.019	jup 	thin 	HD142022A 	242.56261	-84.23161
HD83443   	5511	 4.46	 0.34	 798	-0.026	 0.045	-0.033	 0.051	-0.099	 0.047	 0.007	 0.073	jup 	thin 	HD83443   	144.29928	-43.27220
HD1237    	5514	 4.53	 0.07	 394	-0.081	 0.041	      	      	-0.163	 0.136	      	 0.082	jup 	thin 	HD1237    	004.05283	-79.85118
HD14747   	5516	 4.46	-0.39	 420	 0.212	 0.017	 0.460	 0.152	 0.435	 0.073	-0.248	-0.223	non 	thick	HD14747   	034.89057	-67.69847
HD120362  	5517	 4.53	 0.10	  40	-0.167	 0.081	      	      	      	      	      	      	non 	thin 	HD120362  	208.43235	-78.41370
HD16714   	5518	 4.44	-0.20	 231	 0.040	 0.033	      	      	 0.135	 0.157	      	-0.095	non 	thin 	HD16714   	039.94842	-33.90005
HD206163  	5519	 4.45	 0.01	 154	-0.196	 0.024	 0.071	 0.285	 0.083	 0.187	-0.267	-0.279	non 	thin 	HD206163  	325.56894	-57.61295
HD81639   	5522	 4.42	-0.17	 329	 0.003	 0.019	 0.039	 0.228	 0.011	 0.133	-0.036	-0.008	non 	thin 	HD81639   	140.52528	-73.54335
HD112540  	5523	 4.54	-0.17	 175	-0.051	 0.064	      	      	-0.040	 0.268	      	-0.011	non 	thin 	HD112540  	197.08594	-87.21931
HD73256   	5526	 4.44	 0.23	 901	-0.060	 0.030	 0.038	 0.044	-0.038	 0.047	-0.098	-0.022	jup 	thin 	HD73256   	129.09590	-30.03762
HD207869  	5527	 4.52	-0.45	 387	 0.060	 0.090	      	      	-0.051	 0.207	      	 0.111	non 	thin 	HD207869  	328.79358	-69.02062
HD224433  	5527	 4.44	 0.09	  98	 0.023	 0.048	 0.247	 0.280	-0.050	 0.295	-0.224	 0.073	non 	thin 	HD224433  	359.45892	-30.44794
HD40397   	5527	 4.41	-0.13	 429	 0.130	 0.032	 0.130	 0.148	 0.447	 0.049	 0.000	-0.317	non 	hamr 	HD40397   	089.58973	-04.65067
HD30306   	5529	 4.34	 0.17	 448	-0.035	 0.027	-0.032	 0.102	-0.183	 0.097	-0.003	 0.148	non 	thin 	HD30306   	069.99164	-71.50561
HD147512  	5530	 4.42	-0.08	 488	 0.040	 0.013	 0.109	 0.123	-0.002	 0.088	-0.069	 0.042	non 	thin 	HD147512  	245.63634	-04.24925
HD213941  	5532	 4.43	-0.46	 327	 0.248	 0.039	 0.337	 0.248	      	      	-0.089	      	non 	thick	HD213941  	339.03210	-54.61062
HD207583  	5534	 4.48	 0.01	 199	-0.095	 0.035	      	      	-0.162	 0.227	      	 0.067	non 	thin 	HD207583  	327.59626	-16.19653
HD100777  	5536	 4.35	 0.25	 357	-0.004	 0.027	 0.130	 0.085	-0.099	 0.093	-0.134	 0.095	jup 	thin 	HD100777  	173.96468	-04.75569
HD90926   	5538	 4.37	 0.13	 108	 0.034	 0.066	 0.108	 0.280	-0.104	 0.274	-0.074	 0.138	non 	thin 	HD90926   	156.53523	-76.45202
HD157830  	5540	 4.51	-0.25	 465	-0.083	 0.057	      	      	      	      	      	      	non 	thin 	HD157830  	261.84147	-38.06145
HD115499  	5542	 4.47	 0.07	  47	-0.207	 0.032	      	      	 0.116	 0.412	      	-0.323	non 	thin 	HD115499  	202.20236	-86.44965
HD2768    	5548	 4.42	-0.03	 133	-0.010	 0.045	 0.029	 0.341	-0.142	 0.310	-0.039	 0.132	non 	thin 	HD2768    	007.70027	-56.59500
HD38265   	5549	 4.45	-0.14	 170	 0.002	 0.029	      	      	-0.075	 0.260	      	 0.077	non 	thin 	HD38265   	085.86896	-25.62209
HD128674  	5551	 4.52	-0.38	 267	 0.037	 0.032	      	      	 0.182	 0.160	      	-0.145	non 	thin 	HD128674  	220.11776	-57.02956
HD33811   	5554	 4.41	 0.30	 113	-0.136	 0.029	-0.062	 0.259	-0.133	 0.243	-0.074	-0.003	non 	thin 	HD33811   	077.67959	-44.57178
HD213628  	5555	 4.46	 0.01	 200	 0.007	 0.018	      	      	-0.069	 0.192	      	 0.076	non 	thin 	HD213628  	338.37785	-35.44455
HD207970  	5556	 4.40	 0.07	 299	 0.051	 0.021	-0.174	 0.203	      	      	 0.225	      	non 	hamr 	HD207970  	328.42422	-28.67061
HD147195  	5557	 4.49	-0.05	 119	-0.061	 0.078	      	      	-0.016	 0.289	      	-0.045	non 	thin 	HD147195  	245.28430	-19.94503
HD115617  	5558	 4.37	-0.02	2000	-0.047	 0.021	 0.031	 0.035	-0.059	 0.040	-0.078	 0.012	nept	thin 	HD115617  	199.60131	-18.31120
HD159868  	5558	 3.97	-0.08	 133	-0.051	 0.014	      	      	 0.189	 0.137	      	-0.240	jup 	thin 	HD159868  	264.74803	-43.14551
HD102438  	5560	 4.42	-0.29	1308	 0.047	 0.020	 0.154	 0.080	 0.064	 0.047	-0.107	-0.017	non 	thin 	HD102438  	176.81587	-30.28651
HD161098  	5560	 4.47	-0.27	 415	-0.024	 0.030	      	      	 0.119	 0.106	      	-0.143	non 	thin 	HD161098  	265.93438	-03.91787
HD74014   	5561	 4.34	 0.22	 386	 0.010	 0.026	 0.084	 0.083	 0.037	 0.066	-0.074	-0.027	non 	thin 	HD74014   	130.32734	-04.80894
HD107094  	5562	 4.55	-0.51	 287	 0.002	 0.082	      	      	 0.234	 0.175	      	-0.232	non 	thin 	HD107094  	184.73529	-45.88155
HD41087   	5562	 4.53	-0.13	  87	-0.062	 0.079	      	      	 0.054	 0.363	      	-0.116	non 	thin 	HD41087   	090.29337	-38.27368
HD11397   	5564	 4.47	-0.54	 512	 0.390	 0.021	 0.508	 0.119	 0.372	 0.071	-0.118	 0.018	non 	thick	HD11397   	027.91887	-16.31766
HD168746  	5568	 4.34	-0.10	 211	 0.087	 0.024	-0.013	 0.269	 0.217	 0.119	 0.100	-0.130	jup 	hamr 	HD168746  	275.45743	-11.92268
HD967     	5568	 4.54	-0.68	 756	 0.275	 0.013	 0.466	 0.151	 0.453	 0.067	-0.191	-0.178	non 	thick	HD967     	003.51866	-11.31158
HD126681  	5570	 4.71	-1.15	 244	 0.180	 0.024	      	      	      	      	      	      	non 	thick	HD126681  	216.85379	-18.41124
HD185615  	5570	 4.35	 0.08	 625	 0.082	 0.017	 0.086	 0.073	 0.138	 0.052	-0.004	-0.056	non 	hamr 	HD185615  	295.30698	-32.87336
HD133633  	5571	 4.49	-0.45	 129	 0.124	 0.057	      	      	 0.307	 0.249	      	-0.183	non 	thin 	HD133633  	227.06331	-59.95461
HD3808    	5572	 4.47	-0.17	 116	-0.020	 0.027	      	      	 0.149	 0.256	      	-0.169	non 	thin 	HD3808    	010.12754	-27.27635
HD197210  	5577	 4.43	-0.03	 368	-0.121	 0.050	      	      	-0.068	 0.121	      	-0.053	non 	thin 	HD197210  	310.62254	-05.30124
HD138549  	5582	 4.45	 0.00	 659	 0.016	 0.016	-0.031	 0.091	-0.094	 0.073	 0.047	 0.110	non 	thin 	HD138549  	233.47316	-31.01905
HD94151   	5583	 4.39	 0.04	 390	-0.010	 0.023	-0.044	 0.127	-0.213	 0.141	 0.034	 0.203	non 	thin 	HD94151   	162.91346	-22.07183
HD124364  	5584	 4.49	-0.27	 451	-0.044	 0.017	 0.209	 0.147	 0.068	 0.106	-0.253	-0.112	non 	thin 	HD124364  	213.60344	-48.14664
HD203384  	5586	 4.41	 0.26	 372	-0.027	 0.032	 0.087	 0.075	 0.053	 0.072	-0.114	-0.080	non 	thin 	HD203384  	320.47367	-04.17430
HD224063  	5591	 4.28	 0.14	 174	 0.015	 0.030	 0.148	 0.161	      	      	-0.133	      	non 	hamr 	HD224063  	358.72098	-00.28598
HD141598  	5593	 4.38	-0.10	 115	 0.094	 0.024	 0.187	 0.323	 0.203	 0.210	-0.093	-0.109	non 	hamr 	HD141598  	237.68439	-24.00265
HD106589  	5597	 4.37	-0.23	 102	 0.105	 0.024	      	      	      	      	      	      	non 	thin 	HD106589  	183.90278	-48.41620
HD210320  	5597	 4.31	 0.11	  61	 0.099	 0.032	 0.085	 0.423	 0.121	 0.299	 0.014	-0.022	non 	hamr 	HD210320  	332.53519	-27.67408
HD68089   	5597	 4.53	-0.77	 177	 0.051	 0.059	      	      	      	      	      	      	non 	thick	HD68089   	122.27098	-42.07457
HD170958  	5599	 4.83	-0.04	 142	-0.104	 0.039	      	      	      	      	      	      	non 	thin 	HD170958  	278.35364	-29.86683
HD4208    	5599	 4.44	-0.28	 322	-0.017	 0.060	      	      	      	      	      	      	jup 	thin 	HD4208    	011.11104	-26.51568
HD90156   	5599	 4.48	-0.24	 373	-0.067	 0.037	      	      	 0.046	 0.133	      	-0.113	nept	thin 	HD90156   	155.98031	-29.64553
HD30177   	5601	 4.34	 0.37	 199	-0.063	 0.035	-0.023	 0.128	-0.140	 0.141	-0.040	 0.077	jup 	thin 	HD30177   	070.47656	-58.02076
HD190248  	5604	 4.26	 0.33	1239	-0.037	 0.040	 0.047	 0.038	-0.113	 0.042	-0.084	 0.076	non 	thin 	HD190248  	302.18171	-66.18207
HD206172  	5608	 4.49	-0.24	 280	 0.000	 0.030	      	      	 0.131	 0.147	      	-0.131	non 	thin 	HD206172  	325.11566	-02.01758
HD140901  	5610	 4.46	 0.09	 774	-0.044	 0.039	-0.027	 0.071	-0.127	 0.071	-0.017	 0.083	non 	thin 	HD140901  	236.87125	-37.91631
HD193901  	5611	 4.41	-1.07	 137	 9.990	      	      	      	 0.959	 0.168	      	      	non 	halo 	HD193901  	305.89936	-21.37062
HD131565  	5612	 4.47	-0.16	 108	-0.017	 0.023	      	      	 0.055	 0.313	      	-0.072	non 	thin 	HD131565  	224.53962	-68.59076
HD65216   	5612	 4.44	-0.17	 582	-0.040	 0.025	      	      	 0.078	 0.077	      	-0.118	jup 	thin 	HD65216   	118.42216	-63.64732
HD110619  	5613	 4.51	-0.41	 373	 0.093	 0.012	      	      	      	      	      	      	non 	thin 	HD110619  	190.92802	-37.70814
HD101367  	5615	 4.38	 0.29	  84	-0.054	 0.025	 0.074	 0.255	-0.217	 0.347	-0.128	 0.163	non 	thin 	HD101367  	174.98310	-04.96082
HD171942  	5615	 4.42	-0.10	 120	-0.077	 0.017	      	      	-0.052	 0.311	      	-0.025	non 	thin 	HD171942  	280.51186	-64.32354
HD161612  	5616	 4.45	 0.16	 663	-0.067	 0.025	-0.025	 0.060	-0.078	 0.069	-0.042	 0.011	non 	thin 	HD161612  	266.98979	-34.01888
HD59468   	5618	 4.39	 0.03	2005	 0.018	 0.016	 0.021	 0.044	-0.061	 0.039	-0.003	 0.079	non 	thin 	HD59468   	111.85610	-51.40260
HD123319  	5619	 4.56	-0.52	 175	-0.021	 0.077	      	      	      	      	      	      	non 	thin 	HD123319  	212.08793	-53.92746
HD166745  	5621	 4.31	 0.25	 115	 0.012	 0.035	 0.106	 0.195	 0.085	 0.163	-0.094	-0.073	non 	thin 	HD166745  	273.38846	-33.49906
HD120344  	5623	 4.42	-0.19	 144	 0.003	 0.068	      	      	 0.070	 0.250	      	-0.067	non 	thin 	HD120344  	207.70151	-62.90521
HD188748  	5623	 4.43	-0.12	 448	-0.004	 0.029	 0.037	 0.131	      	      	-0.041	      	non 	thin 	HD188748  	300.46687	-69.18794
HD216777  	5623	 4.51	-0.38	 435	 0.019	 0.029	      	      	 0.104	 0.133	      	-0.085	non 	thin 	HD216777  	343.95824	-07.82261
HD195145  	5625	 4.41	 0.17	 282	-0.056	 0.035	 0.025	 0.121	-0.064	 0.120	-0.081	 0.008	non 	thin 	HD195145  	308.25145	-62.49637
HD147518  	5626	 4.40	-0.63	 158	 0.263	 0.033	      	      	 0.275	 0.263	      	-0.012	non 	thick	HD147518  	246.23483	-51.42895
HD1979    	5626	 4.52	-0.09	 209	-0.285	 0.070	      	      	 0.018	 0.197	      	-0.303	non 	thin 	HD1979    	005.98527	-14.34645
HD177565  	5627	 4.39	 0.08	1462	-0.019	 0.021	 0.021	 0.039	      	      	-0.040	      	non 	thin 	HD177565  	286.71860	-37.81066
HD102365  	5629	 4.44	-0.29	2021	 0.114	 0.051	 0.268	 0.039	 0.249	 0.033	-0.154	-0.135	nept	thin 	HD102365  	176.62947	-40.50036
HD94771   	5631	 4.03	 0.22	 437	-0.080	 0.019	 0.043	 0.063	-0.053	 0.062	-0.123	-0.027	non 	thin 	HD94771   	163.97481	-35.11435
HD108768  	5633	 4.45	 0.14	 137	-0.048	 0.056	-0.016	 0.239	-0.102	 0.247	-0.032	 0.054	non 	thin 	HD108768  	187.48118	-26.42055
HD134606  	5633	 4.38	 0.27	 505	-0.006	 0.026	 0.074	 0.055	-0.129	 0.072	-0.080	 0.123	jup 	thin 	HD134606  	228.81268	-70.51962
HD50806   	5633	 4.11	 0.03	1904	 0.110	 0.014	 0.167	 0.049	      	      	-0.057	      	non 	hamr 	HD50806   	103.39143	-28.53979
HD66221   	5635	 4.40	 0.17	 536	-0.038	 0.022	 0.013	 0.074	-0.092	 0.068	-0.051	 0.054	non 	thin 	HD66221   	120.52235	-12.80462
HD61447   	5637	 4.36	 0.17	 106	 0.058	 0.052	      	      	      	      	      	      	non 	thin 	HD61447   	114.57212	-27.14552
HD126525  	5638	 4.36	-0.10	 531	 0.021	 0.020	 0.018	 0.107	 0.078	 0.065	 0.003	-0.057	jup 	thin 	HD126525  	216.88738	-51.93309
HD190647  	5639	 4.17	 0.23	 306	 0.014	 0.037	 0.050	 0.086	      	      	-0.036	      	jup 	hamr 	HD190647  	301.83196	-35.53863
HD87320   	5639	 4.40	-0.17	  97	 0.124	 0.048	      	      	      	      	      	      	non 	hamr 	HD87320   	150.90576	-29.04334
HD49035   	5640	 4.34	 0.24	 239	-0.035	 0.020	-0.156	 0.152	-0.064	 0.121	 0.121	 0.029	non 	thin 	HD49035   	100.59686	-61.22497
HD72769   	5640	 4.34	 0.30	 396	-0.037	 0.023	-0.139	 0.089	-0.092	 0.079	 0.102	 0.055	non 	thin 	HD72769   	128.44044	-23.35555
HD4308    	5644	 4.37	-0.34	2000	 0.191	 0.017	 0.316	 0.056	 0.340	 0.046	-0.125	-0.149	nept	thick	HD4308    	011.16361	-65.64952
HD172643  	5645	 4.49	-0.15	 111	-0.037	 0.059	 0.095	 0.396	 0.433	 0.165	-0.132	-0.470	non 	thin 	HD172643  	280.90986	-45.82400
HD203432  	5645	 4.38	 0.29	1150	-0.075	 0.023	-0.003	 0.042	-0.077	 0.037	-0.072	 0.002	non 	thin 	HD203432  	320.84402	-41.55251
HD109723  	5647	 4.46	-0.04	  65	-0.208	 0.080	      	      	      	      	      	      	non 	thin 	HD109723  	189.28531	-41.99539
HD222595  	5648	 4.45	 0.01	 728	-0.043	 0.014	 0.037	 0.071	 0.068	 0.054	-0.080	-0.111	non 	thin 	HD222595  	355.55275	-53.42332
HD115674  	5649	 4.47	-0.17	 249	-0.060	 0.076	-0.087	 0.291	-0.070	 0.206	 0.027	 0.010	non 	thin 	HD115674  	200.75030	-81.31011
HD223315  	5650	 4.43	 0.30	  78	-0.120	 0.029	      	      	-0.147	 0.339	      	 0.027	non 	thin 	HD223315  	357.15386	-15.21063
HD38078   	5651	 4.46	-0.29	  89	-0.123	 0.028	      	      	      	      	      	      	non 	thin 	HD38078   	085.34752	-35.71409
HD161256  	5652	 4.26	 0.14	 151	 0.048	 0.030	 0.218	 0.146	      	      	-0.170	      	non 	hamr 	HD161256  	267.09254	-60.66072
HD28254   	5653	 4.14	 0.36	 369	-0.043	 0.034	-0.033	 0.063	-0.120	 0.073	-0.010	 0.077	jup 	thin 	HD28254   	066.21127	-50.62219
HD214385  	5654	 4.42	-0.34	 225	 0.081	 0.011	 0.163	 0.281	      	      	-0.082	      	non 	thin 	HD214385  	339.54592	-27.44344
HD88725   	5654	 4.48	-0.64	 857	 0.239	 0.058	 0.528	 0.102	      	      	-0.289	      	non 	thick	HD88725   	153.53473	+03.15130
HD171665  	5655	 4.40	-0.05	 408	-0.050	 0.010	 0.027	 0.122	 0.065	 0.086	-0.077	-0.115	non 	thin 	HD171665  	279.30350	-25.67127
HD102117  	5657	 4.30	 0.28	 908	-0.050	 0.022	-0.025	 0.043	 0.087	 0.032	-0.025	-0.137	jup 	thin 	HD102117  	176.21025	-58.70371
HD149396  	5657	 4.46	 0.19	 465	-0.060	 0.026	-0.059	 0.079	      	      	-0.001	      	non 	thin 	HD149396  	248.98184	-37.36306
HD202605  	5658	 4.48	 0.18	 291	-0.076	 0.020	-0.133	 0.137	-0.235	 0.163	 0.057	 0.159	non 	thin 	HD202605  	319.25888	-01.07743
HD4915    	5658	 4.51	-0.21	 780	-0.032	 0.022	 0.165	 0.076	 0.032	 0.081	-0.197	-0.064	non 	thin 	HD4915    	012.79520	-05.03928
HD91345   	5658	 4.52	-1.04	 160	 0.191	 0.045	      	      	 0.737	 0.224	      	-0.546	non 	thick	HD91345   	157.51919	-71.56090
HD28821   	5660	 4.37	-0.12	 491	 0.016	 0.015	 0.101	 0.108	 0.036	 0.086	-0.085	-0.020	non 	thin 	HD28821   	068.08947	-05.03900
HD186302  	5662	 4.43	-0.03	  72	-0.068	 0.117	      	      	-0.040	 0.409	      	-0.028	non 	thin 	HD186302  	297.27679	-70.18797
HD136352  	5664	 4.38	-0.34	 881	 0.204	 0.010	 0.438	 0.057	      	      	-0.234	      	nept	thick	HD136352  	230.45063	-48.31763
HD150433  	5665	 4.42	-0.36	 652	 0.174	 0.025	 0.428	 0.076	 0.272	 0.067	-0.254	-0.098	jup 	thick	HD150433  	250.28423	-02.85728
HD111777  	5666	 4.45	-0.68	 309	 0.185	 0.019	 0.463	 0.261	 0.425	 0.139	-0.278	-0.240	non 	thick	HD111777  	193.04852	-56.57444
HD207700  	5666	 4.28	 0.04	 544	 0.100	 0.017	 0.147	 0.069	 0.122	 0.054	-0.047	-0.022	non 	hamr 	HD207700  	328.68835	-73.43848
HD22177   	5666	 4.25	 0.20	 194	 0.000	 0.033	 0.069	 0.132	      	      	-0.069	      	non 	thin 	HD22177   	053.00770	-52.47386
HD117207  	5667	 4.31	 0.22	 252	-0.053	 0.029	 0.111	 0.095	-0.051	 0.111	-0.164	-0.002	jup 	thin 	HD117207  	202.33797	-35.57100
HD28185   	5667	 4.41	 0.21	 585	 0.006	 0.021	-0.009	 0.058	 0.132	 0.049	 0.015	-0.126	jup 	thin 	HD28185   	066.60968	-10.55082
HD70642   	5668	 4.39	 0.18	 158	 0.010	 0.021	 0.003	 0.181	 0.172	 0.126	 0.007	-0.162	jup 	thin 	HD70642   	125.36724	-39.70541
HD131183  	5670	 4.23	 0.09	 194	 0.044	 0.028	 0.223	 0.127	      	      	-0.179	      	non 	hamr 	HD131183  	223.15451	-25.45476
