#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-06-13T18:38:51 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ62a783cd26d7c	
#INFO	-out.max=9999	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=9999
#-out.all=2
#-order=I
#-nav=cat:J/MNRAS/403/1413&tab:{J/MNRAS/403/1413/tablea1}&key:source=J/MNRAS/403/1413/tablea1&HTTPPRM:&&-ref=VIZ62a783cd26d7c&-out.max=1000&-out.form=ascii table&-out.all=2&-order=I&-oc.form=sexa&-out.src=J/MNRAS/403/1413/tablea1&-out=M0&-out=Z0&-out=Pulse&-out=Mcore&-out=Mcsh&-out=tcsh&-out=Ddredge&-out=lam&-out=lam.dup&-out=T(He-sh)&-out=Tbce&-out=T(H-sh)&-out=iPulse&-out=Mtot&-out=Lmax&-out=LHe.max&-out=Rmax&-out=Mbol&-out=Teff&-out=Yields&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-out.src=J/MNRAS/403/1413/tablea1
#-source=J/MNRAS/403/1413/tablea1
#-out=M0
#-out=Z0
#-out=Pulse
#-out=Mcore
#-out=Mcsh
#-out=tcsh
#-out=Ddredge
#-out=lam
#-out=lam.dup
#-out=T(He-sh)
#-out=Tbce
#-out=T(H-sh)
#-out=iPulse
#-out=Mtot
#-out=Lmax
#-out=LHe.max
#-out=Rmax
#-out=Mbol
#-out=Teff
#-out=Yields
#

#RESOURCE=yCat_74031413
#Name: J/MNRAS/403/1413
#Title: Updated stellar yields from AGB models (Karakas, 2010)
#Table	J_MNRAS_403_1413_tablea1:
#Name: J/MNRAS/403/1413/tablea1
#Title: Structural information from the new AGB models
#Column	M0	(F5.2)	[1/6] Initial mass	[ucd=phys.mass]
#Column	Z0	(F7.4)	Initial metallicity (0.0200, 0.0080, 0.0040, 0.0001)	[ucd=phys.abund.Z]
#Column	Pulse	(I4)	Pulse number	[ucd=meta.id]
#Column	Mcore	(F5.3)	Core mass	[ucd=phys.mass]
#Column	Mcsh	(E9.2)	Maximum mass of the intershell convection zone	[ucd=phys.mass]
#Column	tcsh	(F6.1)	Duration of intershell convection	[ucd=time.interval]
#Column	Ddredge	(E9.2)	Mass dredged into the envelope	[ucd=phys.mass]
#Column	lam	(E9.2)	Extent of the partial mixing zone, lambda	[ucd=stat.fit.param]
#Column	lam.dup	(D13.6)	{lambda}_dup_ defined by Goriely & Mowlavi (2000A&A...362..599G) (1)	[ucd=stat.fit.param]
#Column	T(He-sh)	(E9.2)	Maximum temperature in the He-shell	[ucd=phys.temperature]
#Column	Tbce	(E9.2)	Maximum temperature at the base of the convective envelope during the previous interpulse period	[ucd=phys.temperature]
#Column	T(H-sh)	(E9.2)	Maximum temperature in the H-shell during the previous interpulse period	[ucd=phys.temperature]
#Column	iPulse	(E9.2)	Interpulse period (note that the first entry is set to zero)	[ucd=time.period]
#Column	Mtot	(F5.3)	Total mass	[ucd=phys.mass]
#Column	Lmax	(E9.2)	Maximum radiated luminosity during the previous interpulse period	[ucd=phys.luminosity]
#Column	LHe.max	(E9.2)	Maximum He-luminosity during a thermal pulse	[ucd=phys.luminosity]
#Column	Rmax	(E9.2)	Maximum stellar radius during the previous interpulse period	[ucd=phys.size.radius;stat.max]
#Column	Mbol	(F6.2)	Bolometric magnitude	[ucd=phys.magAbs.bol]
#Column	Teff	(F5)	Effective temperature	[ucd=phys.temperature.effective]
#Column	Yields	(a6)	Yields for the various elements	[ucd=meta.ref.url]
M0	Z0	Pulse	Mcore	Mcsh	tcsh	Ddredge	lam	lam.dup	T(He-sh)	Tbce	T(H-sh)	iPulse	Mtot	Lmax	LHe.max	Rmax	Mbol	Teff	Yields
 4.50	 0.0080	  20	0.857	 5.66e-03	  27.8	 4.42e-03	 9.33e-01	 7.812359e-01	 3.45e+08	 6.61e+07	 8.22e+07	 1.36e+04	4.439	 2.72e+04	 3.82e+08	 5.48e+02	 -6.37	 3257	Yields
 4.50	 0.0080	  21	0.857	 5.70e-03	  27.2	 4.51e-03	 9.29e-01	 7.913843e-01	 3.43e+08	 6.70e+07	 8.22e+07	 1.38e+04	4.427	 2.74e+04	 4.51e+08	 5.55e+02	 -6.38	 3245	Yields
 4.50	 0.0080	  22	0.857	 5.72e-03	  24.8	 4.75e-03	 9.77e-01	 8.303601e-01	 3.41e+08	 6.80e+07	 8.23e+07	 1.37e+04	4.411	 2.77e+04	 5.07e+08	 5.60e+02	 -6.39	 3237	Yields
 4.50	 0.0080	  23	0.858	 5.77e-03	  28.5	 4.74e-03	 9.50e-01	 8.214666e-01	 3.48e+08	 6.91e+07	 8.24e+07	 1.39e+04	4.392	 2.80e+04	 5.82e+08	 5.65e+02	 -6.40	 3240	Yields
 4.50	 0.0080	  24	0.858	 5.79e-03	  27.8	 4.83e-03	 9.58e-01	 8.332356e-01	 3.41e+08	 7.00e+07	 8.25e+07	 1.40e+04	4.370	 2.83e+04	 6.27e+08	 5.67e+02	 -6.41	 3243	Yields
 4.50	 0.0080	  25	0.858	 5.79e-03	  29.1	 4.63e-03	 9.20e-01	 7.999794e-01	 3.61e+08	 7.11e+07	 8.26e+07	 1.39e+04	4.348	 2.87e+04	 6.56e+08	 5.68e+02	 -6.42	 3258	Yields
 4.50	 0.0080	  26	0.858	 5.80e-03	  28.9	 4.82e-03	 9.51e-01	 8.321748e-01	 3.41e+08	 7.20e+07	 8.26e+07	 1.39e+04	4.323	 2.89e+04	 7.53e+08	 5.69e+02	 -6.43	 3266	Yields
 4.50	 0.0080	  27	0.858	 5.75e-03	  28.8	 4.83e-03	 9.68e-01	 8.404378e-01	 3.47e+08	 7.28e+07	 8.27e+07	 1.36e+04	4.299	 2.92e+04	 6.74e+08	 5.67e+02	 -6.44	 3275	Yields
 4.50	 0.0080	  28	0.859	 5.80e-03	  29.1	 4.81e-03	 9.55e-01	 8.296084e-01	 3.66e+08	 7.34e+07	 8.28e+07	 1.37e+04	4.274	 2.94e+04	 7.94e+08	 5.68e+02	 -6.45	 3281	Yields
 4.50	 0.0080	  29	0.859	 5.71e-03	  27.4	 4.59e-03	 9.28e-01	 8.042879e-01	 3.44e+08	 7.36e+07	 8.28e+07	 1.34e+04	4.245	 2.95e+04	 7.30e+08	 5.68e+02	 -6.46	 3277	Yields
 4.50	 0.0080	  30	0.859	 5.70e-03	  28.8	 4.72e-03	 9.49e-01	 8.277052e-01	 3.50e+08	 7.37e+07	 8.28e+07	 1.34e+04	4.211	 2.97e+04	 8.09e+08	 5.70e+02	 -6.46	 3274	Yields
 4.50	 0.0080	  31	0.859	 5.69e-03	  29.2	 4.77e-03	 9.55e-01	 8.395707e-01	 3.47e+08	 7.38e+07	 8.28e+07	 1.34e+04	4.169	 2.97e+04	 7.07e+08	 5.74e+02	 -6.46	 3271	Yields
 4.50	 0.0080	  32	0.859	 5.66e-03	  29.0	 4.71e-03	 9.49e-01	 8.313373e-01	 3.46e+08	 7.35e+07	 8.27e+07	 1.33e+04	4.113	 2.97e+04	 7.03e+08	 5.77e+02	 -6.46	 3259	Yields
 4.50	 0.0080	  33	0.860	 5.65e-03	  29.7	 4.64e-03	 9.32e-01	 8.220686e-01	 3.45e+08	 7.32e+07	 8.26e+07	 1.33e+04	4.029	 2.97e+04	 8.56e+08	 5.80e+02	 -6.46	 3243	Yields
 4.50	 0.0080	  34	0.860	 5.63e-03	  29.0	 4.67e-03	 9.44e-01	 8.284677e-01	 3.49e+08	 7.26e+07	 8.25e+07	 1.31e+04	3.890	 2.94e+04	 8.15e+08	 5.85e+02	 -6.45	 3226	Yields
 4.50	 0.0080	  35	0.860	 5.60e-03	  28.0	 4.75e-03	 9.66e-01	 8.485638e-01	 3.48e+08	 7.12e+07	 8.22e+07	 1.31e+04	3.474	 2.89e+04	 7.90e+08	 5.90e+02	 -6.43	 3201	Yields
 4.50	 0.0080	  36	0.860	 5.64e-03	  30.1	 4.81e-03	 9.64e-01	 8.524396e-01	 3.51e+08	 6.57e+07	 8.15e+07	 1.36e+04	2.995	 2.71e+04	 8.97e+08	 6.04e+02	 -6.36	 3132	Yields
 4.50	 0.0080	  37	0.861	 5.78e-03	  32.7	 4.91e-03	 9.56e-01	 8.504696e-01	 3.51e+08	 4.55e+07	 8.05e+07	 1.48e+04	2.509	 2.49e+04	 9.40e+08	 6.46e+02	 -6.27	 3028	Yields
 4.50	 0.0080	  38	0.861	 5.88e-03	  34.1	 4.96e-03	 9.58e-01	 8.450394e-01	 3.72e+08	 2.72e+03	 7.97e+07	 1.55e+04	2.018	 2.38e+04	 1.04e+09	 6.90e+02	 -6.22	 2934	Yields
 5.50	 0.0080	   1	0.890	 8.63e-04	  24.2	 0.00e+00	 0.00e+00	 0.000000e+00	 2.11e+08	 1.74e+07	 7.23e+07	 0.00e+00	5.456	 1.97e+04	 2.68e+04	 3.71e+02	 -6.01	 3643	Yields
 5.50	 0.0080	   2	0.891	 2.98e-03	  31.5	 0.00e+00	 0.00e+00	 0.000000e+00	 2.36e+08	 2.38e+07	 7.45e+07	 3.49e+03	5.456	 2.10e+04	 1.82e+05	 3.91e+02	 -6.09	 3623	Yields
 5.50	 0.0080	   3	0.892	 3.10e-03	  27.4	 1.57e-04	 1.74e-01	 5.050175e-02	 2.46e+08	 2.87e+07	 7.57e+07	 4.04e+03	5.456	 2.18e+04	 3.22e+05	 4.03e+02	 -6.13	 3615	Yields
 5.50	 0.0080	   4	0.893	 3.16e-03	  26.1	 4.52e-04	 4.29e-01	 1.431050e-01	 2.56e+08	 3.51e+07	 7.69e+07	 4.21e+03	5.456	 2.26e+04	 5.62e+05	 4.14e+02	 -6.17	 3599	Yields
 5.50	 0.0080	   5	0.894	 3.21e-03	  22.7	 6.37e-04	 5.21e-01	 1.982226e-01	 2.66e+08	 4.28e+07	 7.80e+07	 4.41e+03	5.456	 2.35e+04	 9.65e+05	 4.27e+02	 -6.21	 3585	Yields
 5.50	 0.0080	   6	0.894	 3.27e-03	  21.1	 1.08e-03	 7.91e-01	 3.302508e-01	 2.74e+08	 5.02e+07	 7.90e+07	 4.61e+03	5.456	 2.44e+04	 1.66e+06	 4.41e+02	 -6.25	 3574	Yields
 5.50	 0.0080	   7	0.895	 3.30e-03	  20.0	 1.33e-03	 8.59e-01	 4.040027e-01	 2.83e+08	 5.83e+07	 8.00e+07	 4.75e+03	5.456	 2.55e+04	 2.52e+06	 4.59e+02	 -6.30	 3559	Yields
 5.50	 0.0080	   8	0.895	 3.32e-03	  20.5	 1.38e-03	 8.01e-01	 4.143847e-01	 2.90e+08	 6.32e+07	 8.09e+07	 5.01e+03	5.456	 2.67e+04	 4.48e+06	 4.78e+02	 -6.35	 3548	Yields
 5.50	 0.0080	   9	0.896	 3.32e-03	  20.6	 1.73e-03	 9.56e-01	 5.199748e-01	 2.94e+08	 6.60e+07	 8.15e+07	 5.18e+03	5.455	 2.78e+04	 6.57e+06	 4.93e+02	 -6.39	 3515	Yields
 5.50	 0.0080	  10	0.896	 3.40e-03	  19.9	 1.80e-03	 8.65e-01	 5.283684e-01	 3.03e+08	 6.88e+07	 8.22e+07	 5.66e+03	5.455	 2.91e+04	 1.07e+07	 5.11e+02	 -6.44	 3519	Yields
 5.50	 0.0080	  11	0.896	 3.40e-03	  20.3	 1.72e-03	 8.09e-01	 5.064823e-01	 3.08e+08	 7.09e+07	 8.28e+07	 5.75e+03	5.455	 3.01e+04	 1.46e+07	 5.21e+02	 -6.47	 3477	Yields
 5.50	 0.0080	  12	0.897	 3.38e-03	  19.8	 1.99e-03	 9.45e-01	 5.880121e-01	 3.12e+08	 7.25e+07	 8.33e+07	 5.70e+03	5.455	 3.08e+04	 1.76e+07	 5.27e+02	 -6.50	 3459	Yields
 5.50	 0.0080	  13	0.897	 3.49e-03	  20.8	 2.22e-03	 9.39e-01	 6.341975e-01	 3.21e+08	 7.46e+07	 8.40e+07	 6.14e+03	5.454	 3.18e+04	 2.88e+07	 5.37e+02	 -6.54	 3471	Yields
 5.50	 0.0080	  14	0.897	 3.55e-03	  21.4	 2.35e-03	 9.21e-01	 6.639219e-01	 3.24e+08	 7.66e+07	 8.46e+07	 6.58e+03	5.454	 3.26e+04	 3.84e+07	 5.41e+02	 -6.56	 3469	Yields
 5.50	 0.0080	  15	0.898	 3.63e-03	  21.6	 2.42e-03	 9.15e-01	 6.664256e-01	 3.27e+08	 7.86e+07	 8.53e+07	 6.74e+03	5.453	 3.34e+04	 5.34e+07	 5.41e+02	 -6.59	 3481	Yields
 5.50	 0.0080	  16	0.898	 3.61e-03	  21.5	 2.56e-03	 9.56e-01	 7.102833e-01	 3.31e+08	 8.00e+07	 8.59e+07	 6.82e+03	5.453	 3.39e+04	 6.16e+07	 5.40e+02	 -6.61	 3482	Yields
 5.50	 0.0080	  17	0.898	 3.67e-03	  21.0	 2.67e-03	 9.36e-01	 7.280648e-01	 3.36e+08	 8.10e+07	 8.64e+07	 7.19e+03	5.452	 3.46e+04	 8.20e+07	 5.45e+02	 -6.63	 3494	Yields
 5.50	 0.0080	  18	0.899	 3.72e-03	  19.8	 2.76e-03	 9.39e-01	 7.430391e-01	 3.40e+08	 8.16e+07	 8.68e+07	 7.34e+03	5.452	 3.53e+04	 1.01e+08	 5.50e+02	 -6.65	 3485	Yields
 5.50	 0.0080	  19	0.899	 3.75e-03	  18.6	 2.80e-03	 9.26e-01	 7.464028e-01	 3.39e+08	 8.19e+07	 8.70e+07	 7.51e+03	5.451	 3.58e+04	 1.20e+08	 5.57e+02	 -6.67	 3472	Yields
 5.50	 0.0080	  20	0.899	 3.82e-03	  20.3	 2.91e-03	 9.57e-01	 7.633055e-01	 3.47e+08	 8.22e+07	 8.72e+07	 7.51e+03	5.449	 3.61e+04	 1.45e+08	 5.63e+02	 -6.67	 3460	Yields
 5.50	 0.0080	  21	0.899	 3.83e-03	  17.3	 2.93e-03	 9.25e-01	 7.650222e-01	 3.51e+08	 8.24e+07	 8.73e+07	 7.76e+03	5.448	 3.67e+04	 1.51e+08	 5.71e+02	 -6.69	 3455	Yields
 5.50	 0.0080	  22	0.900	 3.87e-03	  17.6	 3.01e-03	 9.52e-01	 7.762586e-01	 3.50e+08	 8.26e+07	 8.75e+07	 7.73e+03	5.446	 3.71e+04	 1.89e+08	 5.75e+02	 -6.70	 3437	Yields
 5.50	 0.0080	  23	0.900	 3.86e-03	  16.1	 3.00e-03	 9.31e-01	 7.775292e-01	 3.46e+08	 8.28e+07	 8.76e+07	 7.85e+03	5.443	 3.75e+04	 1.86e+08	 5.81e+02	 -6.71	 3438	Yields
 5.50	 0.0080	  24	0.900	 3.87e-03	  14.0	 3.06e-03	 9.53e-01	 7.914078e-01	 3.55e+08	 8.30e+07	 8.77e+07	 7.81e+03	5.440	 3.78e+04	 2.25e+08	 5.85e+02	 -6.72	 3428	Yields
 5.50	 0.0080	  25	0.900	 3.90e-03	  17.4	 3.06e-03	 9.32e-01	 7.847545e-01	 3.56e+08	 8.30e+07	 8.77e+07	 7.96e+03	5.437	 3.82e+04	 2.51e+08	 5.90e+02	 -6.73	 3422	Yields
 5.50	 0.0080	  26	0.900	 3.95e-03	  17.2	 3.13e-03	 9.64e-01	 7.923410e-01	 3.59e+08	 8.31e+07	 8.78e+07	 7.83e+03	5.433	 3.84e+04	 2.80e+08	 5.93e+02	 -6.74	 3412	Yields
 5.50	 0.0080	  27	0.901	 3.91e-03	  18.0	 3.17e-03	 9.52e-01	 8.091475e-01	 3.50e+08	 8.31e+07	 8.78e+07	 8.00e+03	5.428	 3.88e+04	 2.89e+08	 5.99e+02	 -6.75	 3410	Yields
 5.50	 0.0080	  28	0.901	 3.92e-03	  18.3	 3.14e-03	 9.33e-01	 8.014836e-01	 3.55e+08	 8.32e+07	 8.79e+07	 8.07e+03	5.422	 3.90e+04	 3.11e+08	 6.03e+02	 -6.76	 3407	Yields
 5.50	 0.0080	  29	0.901	 3.93e-03	  17.3	 3.13e-03	 9.43e-01	 7.975218e-01	 3.60e+08	 8.33e+07	 8.79e+07	 7.94e+03	5.416	 3.93e+04	 3.09e+08	 6.06e+02	 -6.77	 3396	Yields
 5.50	 0.0080	  30	0.901	 3.89e-03	  18.8	 3.13e-03	 9.33e-01	 8.052437e-01	 3.55e+08	 8.33e+07	 8.79e+07	 8.00e+03	5.408	 3.94e+04	 2.71e+08	 6.10e+02	 -6.77	 3392	Yields
 5.50	 0.0080	  31	0.901	 3.88e-03	  18.1	 3.14e-03	 9.47e-01	 8.087358e-01	 3.55e+08	 8.33e+07	 8.79e+07	 7.87e+03	5.399	 3.96e+04	 3.24e+08	 6.12e+02	 -6.78	 3386	Yields
 5.50	 0.0080	  32	0.901	 3.86e-03	  17.8	 3.12e-03	 9.38e-01	 8.085626e-01	 3.48e+08	 8.33e+07	 8.79e+07	 7.87e+03	5.389	 3.98e+04	 3.29e+08	 6.16e+02	 -6.78	 3384	Yields
 5.50	 0.0080	  33	0.902	 3.82e-03	  18.5	 3.07e-03	 9.37e-01	 8.041292e-01	 3.57e+08	 8.33e+07	 8.79e+07	 7.70e+03	5.378	 3.99e+04	 3.27e+08	 6.19e+02	 -6.78	 3375	Yields
 5.50	 0.0080	  34	0.902	 3.83e-03	  17.3	 3.06e-03	 9.46e-01	 7.996136e-01	 3.61e+08	 8.33e+07	 8.79e+07	 7.62e+03	5.366	 4.03e+04	 3.33e+08	 6.20e+02	 -6.79	 3370	Yields
 5.50	 0.0080	  35	0.902	 3.81e-03	  18.3	 3.06e-03	 9.46e-01	 8.044245e-01	 3.63e+08	 8.32e+07	 8.79e+07	 7.61e+03	5.353	 4.02e+04	 3.35e+08	 6.23e+02	 -6.79	 3370	Yields
 5.50	 0.0080	  36	0.902	 3.76e-03	  18.1	 3.04e-03	 9.41e-01	 8.075504e-01	 3.55e+08	 8.32e+07	 8.78e+07	 7.54e+03	5.337	 4.03e+04	 3.28e+08	 6.25e+02	 -6.79	 3364	Yields
 5.50	 0.0080	  37	0.902	 3.73e-03	  17.5	 3.04e-03	 9.47e-01	 8.143895e-01	 3.50e+08	 8.31e+07	 8.78e+07	 7.52e+03	5.319	 4.05e+04	 3.20e+08	 6.28e+02	 -6.80	 3360	Yields
 5.50	 0.0080	  38	0.903	 3.73e-03	  17.9	 3.01e-03	 9.29e-01	 8.051708e-01	 3.56e+08	 8.31e+07	 8.78e+07	 7.54e+03	5.299	 4.05e+04	 3.08e+08	 6.30e+02	 -6.80	 3358	Yields
 5.50	 0.0080	  39	0.903	 3.70e-03	  18.7	 2.99e-03	 9.44e-01	 8.079572e-01	 3.61e+08	 8.30e+07	 8.77e+07	 7.38e+03	5.277	 4.05e+04	 3.13e+08	 6.32e+02	 -6.80	 3350	Yields
 5.50	 0.0080	  40	0.903	 3.66e-03	  18.1	 2.93e-03	 9.29e-01	 8.006356e-01	 3.62e+08	 8.29e+07	 8.77e+07	 7.32e+03	5.251	 4.05e+04	 2.92e+08	 6.35e+02	 -6.80	 3346	Yields
 5.50	 0.0080	  41	0.903	 3.58e-03	  17.5	 2.81e-03	 9.18e-01	 7.850220e-01	 3.60e+08	 8.28e+07	 8.76e+07	 7.11e+03	5.224	 4.05e+04	 2.70e+08	 6.36e+02	 -6.80	 3337	Yields
 5.50	 0.0080	  42	0.903	 3.32e-03	  18.4	 2.58e-03	 9.31e-01	 7.762992e-01	 3.54e+08	 8.26e+07	 8.74e+07	 6.46e+03	5.196	 4.03e+04	 1.73e+08	 6.35e+02	 -6.79	 3328	Yields
 5.50	 0.0080	  43	0.903	 3.24e-03	  17.5	 2.42e-03	 9.11e-01	 7.477779e-01	 3.54e+08	 8.24e+07	 8.73e+07	 6.19e+03	5.169	 4.02e+04	 1.51e+08	 6.35e+02	 -6.79	 3326	Yields
 5.50	 0.0080	  44	0.903	 3.00e-03	  17.7	 2.22e-03	 9.12e-01	 7.377840e-01	 3.45e+08	 8.21e+07	 8.71e+07	 5.67e+03	5.141	 4.00e+04	 9.55e+07	 6.36e+02	 -6.79	 3320	Yields
 5.50	 0.0080	  45	0.903	 3.11e-03	  16.4	 2.29e-03	 9.21e-01	 7.353358e-01	 3.49e+08	 8.20e+07	 8.70e+07	 5.79e+03	5.111	 3.99e+04	 1.21e+08	 6.35e+02	 -6.78	 3317	Yields
 5.50	 0.0080	  46	0.904	 3.33e-03	  14.5	 2.55e-03	 9.28e-01	 7.640656e-01	 3.56e+08	 8.21e+07	 8.71e+07	 6.37e+03	5.069	 3.99e+04	 1.81e+08	 6.39e+02	 -6.78	 3315	Yields
 5.50	 0.0080	  47	0.904	 3.58e-03	  15.3	 2.85e-03	 9.58e-01	 7.976375e-01	 3.62e+08	 8.22e+07	 8.72e+07	 6.87e+03	5.010	 4.01e+04	 2.72e+08	 6.42e+02	 -6.79	 3310	Yields
 5.50	 0.0080	  48	0.905	 3.77e-03	  16.8	 3.10e-03	 9.53e-01	 8.215252e-01	 3.65e+08	 8.21e+07	 8.72e+07	 7.45e+03	4.913	 4.01e+04	 3.67e+08	 6.49e+02	 -6.79	 3311	Yields
 5.50	 0.0080	  49	0.905	 3.89e-03	  20.2	 3.24e-03	 9.49e-01	 8.325503e-01	 3.61e+08	 8.18e+07	 8.72e+07	 7.80e+03	4.743	 3.98e+04	 4.90e+08	 6.53e+02	 -6.78	 3295	Yields
 5.50	 0.0080	  50	0.905	 3.97e-03	  20.1	 3.30e-03	 9.39e-01	 8.325746e-01	 3.56e+08	 8.12e+07	 8.70e+07	 8.02e+03	4.354	 3.91e+04	 5.33e+08	 6.57e+02	 -6.76	 3273	Yields
 5.50	 0.0080	  51	0.905	 4.02e-03	  21.1	 3.44e-03	 9.70e-01	 8.573866e-01	 3.60e+08	 7.98e+07	 8.64e+07	 8.11e+03	3.960	 3.70e+04	 5.66e+08	 6.61e+02	 -6.70	 3222	Yields
 5.50	 0.0080	  52	0.906	 4.09e-03	  21.1	 3.44e-03	 9.24e-01	 8.404939e-01	 3.53e+08	 7.78e+07	 8.59e+07	 8.51e+03	3.570	 3.50e+04	 7.12e+08	 6.65e+02	 -6.64	 3176	Yields
 5.50	 0.0080	  53	0.906	 4.15e-03	  22.0	 3.41e-03	 9.27e-01	 8.216550e-01	 3.60e+08	 7.45e+07	 8.52e+07	 8.47e+03	3.208	 3.26e+04	 6.98e+08	 6.68e+02	 -6.56	 3118	Yields
 5.50	 0.0080	  54	0.906	 4.15e-03	  20.3	 3.68e-03	 1.02e+00	 8.862474e-01	 3.62e+08	 6.73e+07	 8.43e+07	 8.53e+03	2.871	 3.01e+04	 7.88e+08	 6.74e+02	 -6.48	 3050	Yields
 5.50	 0.0080	  55	0.907	 4.33e-03	  13.9	 3.69e-03	 9.09e-01	 8.532474e-01	 2.67e+08	 4.76e+07	 8.35e+07	 1.01e+04	2.497	 2.81e+04	 1.01e+09	 7.10e+02	 -6.40	 2978	Yields
 5.50	 0.0080	  56	0.907	 4.40e-03	  24.8	 3.75e-03	 9.44e-01	 8.515389e-01	 3.70e+08	 2.07e+07	 8.24e+07	 1.02e+04	2.132	 2.68e+04	 1.12e+09	 7.56e+02	 -6.35	 2881	Yields
 2.10	 0.0040	   1	0.543	 3.21e-02	 431.4	 0.00e+00	 0.00e+00	 0.000000e+00	 1.82e+08	 1.88e+06	 4.77e+07	 0.00e+00	2.073	 1.92e+03	 4.29e+04	 8.81e+01	 -3.49	 4255	Yields
 2.10	 0.0040	   2	0.545	 3.18e-02	 415.5	 0.00e+00	 0.00e+00	 0.000000e+00	 1.87e+08	 1.94e+06	 4.83e+07	 8.94e+04	2.073	 2.06e+03	 6.00e+04	 9.25e+01	 -3.56	 4214	Yields
 2.10	 0.0040	   3	0.547	 3.28e-02	 332.7	 0.00e+00	 0.00e+00	 0.000000e+00	 1.99e+08	 2.10e+06	 5.04e+07	 1.09e+05	2.073	 2.53e+03	 1.87e+05	 1.07e+02	 -3.79	 4202	Yields
 2.10	 0.0040	   4	0.551	 3.41e-02	 349.9	 0.00e+00	 0.00e+00	 0.000000e+00	 2.15e+08	 2.30e+06	 5.30e+07	 1.49e+05	2.073	 3.18e+03	 8.15e+05	 1.27e+02	 -4.04	 4177	Yields
 2.10	 0.0040	   5	0.556	 3.31e-02	 280.2	 0.00e+00	 0.00e+00	 0.000000e+00	 2.22e+08	 2.39e+06	 5.43e+07	 1.65e+05	2.073	 3.58e+03	 1.35e+06	 1.38e+02	 -4.17	 4144	Yields
 2.10	 0.0040	   6	0.562	 3.27e-02	 321.9	 0.00e+00	 0.00e+00	 0.000000e+00	 2.32e+08	 2.51e+06	 5.59e+07	 1.75e+05	2.073	 4.11e+03	 3.09e+06	 1.53e+02	 -4.32	 4111	Yields
 2.10	 0.0040	   7	0.569	 3.15e-02	 277.8	 0.00e+00	 0.00e+00	 0.000000e+00	 2.38e+08	 2.62e+06	 5.72e+07	 1.76e+05	2.073	 4.55e+03	 4.82e+06	 1.66e+02	 -4.43	 4064	Yields
 2.10	 0.0040	   8	0.577	 3.01e-02	 291.6	 0.00e+00	 0.00e+00	 0.000000e+00	 2.44e+08	 2.73e+06	 5.83e+07	 1.70e+05	2.073	 5.00e+03	 7.25e+06	 1.78e+02	 -4.53	 4023	Yields
 2.10	 0.0040	   9	0.585	 2.87e-02	 266.0	 1.70e-04	 2.14e-02	 5.938521e-03	 2.48e+08	 2.84e+06	 5.94e+07	 1.61e+05	2.073	 5.45e+03	 9.94e+06	 1.90e+02	 -4.62	 3982	Yields
 2.10	 0.0040	  10	0.593	 2.72e-02	 249.5	 4.40e-04	 5.33e-02	 1.616311e-02	 2.53e+08	 2.94e+06	 6.03e+07	 1.50e+05	2.073	 5.89e+03	 1.29e+07	 2.02e+02	 -4.71	 3941	Yields
 2.10	 0.0040	  11	0.601	 2.58e-02	 251.5	 1.73e-03	 2.04e-01	 6.728983e-02	 2.57e+08	 3.05e+06	 6.13e+07	 1.40e+05	2.073	 6.33e+03	 1.27e+07	 2.14e+02	 -4.78	 3894	Yields
 2.10	 0.0040	  12	0.608	 2.50e-02	 229.2	 3.38e-03	 3.73e-01	 1.354706e-01	 2.63e+08	 3.14e+06	 6.21e+07	 1.31e+05	2.073	 6.84e+03	 2.07e+07	 2.34e+02	 -4.87	 3800	Yields
 2.10	 0.0040	  13	0.615	 2.44e-02	 223.8	 4.50e-03	 4.56e-01	 1.843998e-01	 2.67e+08	 3.23e+06	 6.26e+07	 1.26e+05	2.073	 7.38e+03	 3.65e+07	 2.59e+02	 -4.95	 3645	Yields
 2.10	 0.0040	  14	0.620	 2.37e-02	 230.7	 5.47e-03	 5.29e-01	 2.308818e-01	 2.72e+08	 3.43e+06	 6.30e+07	 1.21e+05	2.073	 7.90e+03	 5.04e+07	 2.71e+02	 -5.02	 3548	Yields
 2.10	 0.0040	  15	0.626	 2.31e-02	 228.3	 6.27e-03	 5.81e-01	 2.710909e-01	 2.76e+08	 3.42e+06	 6.32e+07	 1.16e+05	2.072	 8.38e+03	 6.68e+07	 3.08e+02	 -5.09	 3459	Yields
 2.10	 0.0040	  16	0.631	 2.26e-02	 202.8	 6.86e-03	 6.18e-01	 3.041380e-01	 2.79e+08	 3.51e+06	 6.34e+07	 1.10e+05	2.070	 8.85e+03	 6.89e+07	 3.33e+02	 -5.15	 3375	Yields
 2.10	 0.0040	  17	0.635	 2.20e-02	 215.0	 7.32e-03	 6.49e-01	 3.322949e-01	 2.82e+08	 3.64e+06	 6.36e+07	 1.05e+05	2.065	 9.25e+03	 1.03e+08	 3.52e+02	 -5.20	 3308	Yields
