#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-09-26T23:11:37 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-09-26T23:11:37	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-source=J/ApJS/225/24/element&-order=I&-out=Sp&-out=OP1.65&-out=OP2&-out=OP3&-out=OP4&-out=OP5&-out=OP15&-out=OP20&-out=OP25&-out=OP32&-out=OP60&-out=Set&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22250024
#Name: J/ApJS/225/24
#Title: NuGrid stellar data set I. Yields from H to Bi (Pignatari+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apjs/225/24	    IVOID of underlying data collection
#INFO	creator=Pignatari M.	    First author or institution
#INFO	cites=bibcode:2016ApJS..225...24P	    Article or Data origin sources
#INFO	editor=Astrophysical Journal Supplement (AAS)	    Editor name (article)
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/225/24	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22250024	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_225_24_element:
#Name: J/ApJS/225/24/element
#Title: The element overproduction  factors in stellar winds is given for the stars of  Set1.2  and Set 1.1
#Column	Sp	(A2)	Species identifier	[ucd=phys.atmol.ionStage]
#Column	OP1.65	(E9.2)	[0/3] Overproduction factor for 1.65M_{sun}_ model	[ucd=stat.param]
#Column	OP2	(E9.2)	[0/8] Overproduction factor for 2M_{sun}_ model	[ucd=stat.param]
#Column	OP3	(E9.2)	[0/8] Overproduction factor for 3M_{sun}_ model	[ucd=stat.param]
#Column	OP4	(E9.2)	[0/10] Overproduction factor for 4M_{sun}_ model	[ucd=stat.param]
#Column	OP5	(E9.2)	[0/5] Overproduction factor for 5M_{sun}_ model	[ucd=stat.param]
#Column	OP15	(E9.2)	[0/3] Overproduction factor for 15M_{sun}_ model	[ucd=stat.param]
#Column	OP20	(E9.2)	[0/3] Overproduction factor for 20M_{sun}_ model	[ucd=stat.param]
#Column	OP25	(E9.2)	[0/4] Overproduction factor for 25M_{sun}_ model	[ucd=stat.param]
#Column	OP32	(E9.2)	[0/6]? Overproduction factor for 32M_{sun}_ model (only for table 12)	[ucd=stat.param]
#Column	OP60	(E9.2)	[0/19]? Overproduction factor for 60M_{sun}_ model (only for table 12)	[ucd=stat.param]
#Column	Set	(A3)	Set number	[ucd=meta.id]
Sp	OP1.65	OP2	OP3	OP4	OP5	OP15	OP20	OP25	OP32	OP60	Set
Xe	 1.01e+00	 1.17e+00	 1.28e+00	 1.18e+00	 1.09e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Cs	 1.00e+00	 1.14e+00	 1.23e+00	 1.12e+00	 1.05e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Ba	 1.06e+00	 2.10e+00	 2.97e+00	 1.62e+00	 1.23e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
La	 1.05e+00	 2.04e+00	 2.99e+00	 1.56e+00	 1.19e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Ce	 1.06e+00	 2.22e+00	 3.37e+00	 1.56e+00	 1.17e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Pr	 1.03e+00	 1.77e+00	 2.66e+00	 1.40e+00	 1.12e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Nd	 1.04e+00	 1.84e+00	 2.68e+00	 1.39e+00	 1.11e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Pm	 0.00e+00	 0.00e+00	 0.00e+00	 0.00e+00	 0.00e+00	 0.00e+00	 0.00e+00	 0.00e+00	         	         	1.1
Sm	 1.02e+00	 1.39e+00	 1.85e+00	 1.22e+00	 1.06e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Eu	 9.98e-01	 1.06e+00	 1.15e+00	 1.03e+00	 1.01e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Gd	 1.01e+00	 1.23e+00	 1.58e+00	 1.16e+00	 1.04e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Tb	 1.00e+00	 1.10e+00	 1.26e+00	 1.07e+00	 1.02e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Dy	 1.01e+00	 1.24e+00	 1.57e+00	 1.13e+00	 1.04e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Ho	 1.00e+00	 1.08e+00	 1.20e+00	 1.07e+00	 1.01e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Er	 1.01e+00	 1.26e+00	 1.59e+00	 1.20e+00	 1.05e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Tm	 1.01e+00	 1.15e+00	 1.33e+00	 1.11e+00	 1.03e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Yb	 1.04e+00	 1.61e+00	 2.34e+00	 1.40e+00	 1.11e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Lu	 1.02e+00	 1.39e+00	 1.83e+00	 1.24e+00	 1.07e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Hf	 1.06e+00	 1.94e+00	 2.98e+00	 1.53e+00	 1.15e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Ta	 1.02e+00	 1.39e+00	 1.83e+00	 1.24e+00	 1.07e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
W 	 1.05e+00	 1.92e+00	 2.87e+00	 1.50e+00	 1.14e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Re	 1.01e+00	 1.30e+00	 1.68e+00	 1.21e+00	 1.06e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Os	 1.00e+00	 1.17e+00	 1.41e+00	 1.11e+00	 1.03e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Ir	 9.94e-01	 9.98e-01	 1.03e+00	 1.00e+00	 9.98e-01	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Pt	 1.00e+00	 1.06e+00	 1.18e+00	 1.05e+00	 1.01e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Au	 1.00e+00	 1.08e+00	 1.19e+00	 1.05e+00	 1.01e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Hg	 1.08e+00	 2.12e+00	 3.35e+00	 1.63e+00	 1.17e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Tl	 1.06e+00	 2.11e+00	 3.49e+00	 1.57e+00	 1.17e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Pb	 1.03e+00	 1.71e+00	 3.81e+00	 2.02e+00	 1.38e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1
Bi	 1.00e+00	 1.04e+00	 1.46e+00	 1.43e+00	 1.21e+00	 1.00e+00	 1.00e+00	 1.00e+00	         	         	1.1

